[bootstrap_seed=0, run_id=0] First datapoint: [0.75377935 3.6031806 ]
Epoch 0, Train Loss: 5.5359, Val Loss: 4.0555
Epoch 1, Train Loss: 3.7473, Val Loss: 3.5456
Epoch 2, Train Loss: 3.4526, Val Loss: 3.3477
Epoch 3, Train Loss: 3.2804, Val Loss: 3.1950
Epoch 4, Train Loss: 3.1462, Val Loss: 3.0791
Epoch 5, Train Loss: 3.0460, Val Loss: 3.0043
Epoch 6, Train Loss: 2.9871, Val Loss: 2.9617
Epoch 7, Train Loss: 2.9552, Val Loss: 2.9389
Epoch 8, Train Loss: 2.9362, Val Loss: 2.9238
Epoch 9, Train Loss: 2.9224, Val Loss: 2.9135
Epoch 10, Train Loss: 2.9151, Val Loss: 2.9058
Epoch 11, Train Loss: 2.9071, Val Loss: 2.8994
Epoch 12, Train Loss: 2.9016, Val Loss: 2.8938
Epoch 13, Train Loss: 2.8954, Val Loss: 2.8892
Epoch 14, Train Loss: 2.8917, Val Loss: 2.8849
Epoch 15, Train Loss: 2.8874, Val Loss: 2.8810
Epoch 16, Train Loss: 2.8829, Val Loss: 2.8778
Epoch 17, Train Loss: 2.8798, Val Loss: 2.8751
Epoch 18, Train Loss: 2.8776, Val Loss: 2.8725
Epoch 19, Train Loss: 2.8754, Val Loss: 2.8704
Epoch 20, Train Loss: 2.8724, Val Loss: 2.8692
Epoch 21, Train Loss: 2.8700, Val Loss: 2.8672
Epoch 22, Train Loss: 2.8689, Val Loss: 2.8654
Epoch 23, Train Loss: 2.8680, Val Loss: 2.8636
Epoch 24, Train Loss: 2.8658, Val Loss: 2.8620
Epoch 25, Train Loss: 2.8653, Val Loss: 2.8611
Epoch 26, Train Loss: 2.8650, Val Loss: 2.8595
Epoch 27, Train Loss: 2.8633, Val Loss: 2.8583
Epoch 28, Train Loss: 2.8618, Val Loss: 2.8576
Epoch 29, Train Loss: 2.8612, Val Loss: 2.8572
Epoch 30, Train Loss: 2.8604, Val Loss: 2.8555
Epoch 31, Train Loss: 2.8595, Val Loss: 2.8551
Epoch 32, Train Loss: 2.8587, Val Loss: 2.8553
Epoch 33, Train Loss: 2.8582, Val Loss: 2.8545
Epoch 34, Train Loss: 2.8574, Val Loss: 2.8532
Epoch 35, Train Loss: 2.8570, Val Loss: 2.8521
Epoch 36, Train Loss: 2.8561, Val Loss: 2.8513
Epoch 37, Train Loss: 2.8557, Val Loss: 2.8510
Epoch 38, Train Loss: 2.8553, Val Loss: 2.8508
Epoch 39, Train Loss: 2.8548, Val Loss: 2.8508
Epoch 40, Train Loss: 2.8545, Val Loss: 2.8511
Epoch 41, Train Loss: 2.8541, Val Loss: 2.8522
Epoch 42, Train Loss: 2.8527, Val Loss: 2.8497
Epoch 43, Train Loss: 2.8533, Val Loss: 2.8502
Epoch 44, Train Loss: 2.8527, Val Loss: 2.8489
Epoch 45, Train Loss: 2.8522, Val Loss: 2.8489
Epoch 46, Train Loss: 2.8517, Val Loss: 2.8508
Epoch 47, Train Loss: 2.8518, Val Loss: 2.8487
Epoch 48, Train Loss: 2.8512, Val Loss: 2.8487
Epoch 49, Train Loss: 2.8506, Val Loss: 2.8493
Epoch 50, Train Loss: 2.8508, Val Loss: 2.8492
Epoch 51, Train Loss: 2.8507, Val Loss: 2.8495
Epoch 52, Train Loss: 2.8502, Val Loss: 2.8487
Epoch 53, Train Loss: 2.8499, Val Loss: 2.8487
Epoch 54, Train Loss: 2.8497, Val Loss: 2.8487
Epoch 55, Train Loss: 2.8499, Val Loss: 2.8482
Epoch 56, Train Loss: 2.8492, Val Loss: 2.8474
Epoch 57, Train Loss: 2.8494, Val Loss: 2.8471
Epoch 58, Train Loss: 2.8486, Val Loss: 2.8479
Epoch 59, Train Loss: 2.8484, Val Loss: 2.8475
Epoch 60, Train Loss: 2.8485, Val Loss: 2.8469
Epoch 61, Train Loss: 2.8483, Val Loss: 2.8474
Epoch 62, Train Loss: 2.8485, Val Loss: 2.8470
Epoch 63, Train Loss: 2.8485, Val Loss: 2.8496
Epoch 64, Train Loss: 2.8482, Val Loss: 2.8483
Epoch 65, Train Loss: 2.8477, Val Loss: 2.8468
Epoch 66, Train Loss: 2.8475, Val Loss: 2.8472
Epoch 67, Train Loss: 2.8475, Val Loss: 2.8482
Epoch 68, Train Loss: 2.8471, Val Loss: 2.8465
Epoch 69, Train Loss: 2.8477, Val Loss: 2.8481
Epoch 70, Train Loss: 2.8474, Val Loss: 2.8466
Epoch 71, Train Loss: 2.8472, Val Loss: 2.8454
Epoch 72, Train Loss: 2.8470, Val Loss: 2.8457
Epoch 73, Train Loss: 2.8465, Val Loss: 2.8463
