[bootstrap_seed=0, run_id=1] First datapoint: [0.69703716 0.03624053]
Epoch 0, Train Loss: 5.5221, Val Loss: 4.0551
Epoch 1, Train Loss: 3.7375, Val Loss: 3.5546
Epoch 2, Train Loss: 3.4407, Val Loss: 3.3523
Epoch 3, Train Loss: 3.2683, Val Loss: 3.2017
Epoch 4, Train Loss: 3.1335, Val Loss: 3.0854
Epoch 5, Train Loss: 3.0365, Val Loss: 3.0092
Epoch 6, Train Loss: 2.9780, Val Loss: 2.9668
Epoch 7, Train Loss: 2.9488, Val Loss: 2.9427
Epoch 8, Train Loss: 2.9309, Val Loss: 2.9274
Epoch 9, Train Loss: 2.9184, Val Loss: 2.9160
Epoch 10, Train Loss: 2.9086, Val Loss: 2.9076
Epoch 11, Train Loss: 2.9024, Val Loss: 2.9008
Epoch 12, Train Loss: 2.8960, Val Loss: 2.8957
Epoch 13, Train Loss: 2.8913, Val Loss: 2.8906
Epoch 14, Train Loss: 2.8864, Val Loss: 2.8861
Epoch 15, Train Loss: 2.8820, Val Loss: 2.8827
Epoch 16, Train Loss: 2.8787, Val Loss: 2.8797
Epoch 17, Train Loss: 2.8755, Val Loss: 2.8765
Epoch 18, Train Loss: 2.8732, Val Loss: 2.8740
Epoch 19, Train Loss: 2.8694, Val Loss: 2.8710
Epoch 20, Train Loss: 2.8679, Val Loss: 2.8694
Epoch 21, Train Loss: 2.8657, Val Loss: 2.8674
Epoch 22, Train Loss: 2.8640, Val Loss: 2.8661
Epoch 23, Train Loss: 2.8632, Val Loss: 2.8654
Epoch 24, Train Loss: 2.8613, Val Loss: 2.8638
Epoch 25, Train Loss: 2.8587, Val Loss: 2.8636
Epoch 26, Train Loss: 2.8587, Val Loss: 2.8621
Epoch 27, Train Loss: 2.8574, Val Loss: 2.8617
Epoch 28, Train Loss: 2.8567, Val Loss: 2.8616
Epoch 29, Train Loss: 2.8561, Val Loss: 2.8605
Epoch 30, Train Loss: 2.8551, Val Loss: 2.8596
Epoch 31, Train Loss: 2.8547, Val Loss: 2.8601
Epoch 32, Train Loss: 2.8546, Val Loss: 2.8587
Epoch 33, Train Loss: 2.8538, Val Loss: 2.8584
Epoch 34, Train Loss: 2.8534, Val Loss: 2.8592
Epoch 35, Train Loss: 2.8531, Val Loss: 2.8579
Epoch 36, Train Loss: 2.8524, Val Loss: 2.8572
Epoch 37, Train Loss: 2.8521, Val Loss: 2.8568
Epoch 38, Train Loss: 2.8516, Val Loss: 2.8567
Epoch 39, Train Loss: 2.8508, Val Loss: 2.8563
Epoch 40, Train Loss: 2.8502, Val Loss: 2.8559
Epoch 41, Train Loss: 2.8498, Val Loss: 2.8553
Epoch 42, Train Loss: 2.8504, Val Loss: 2.8548
Epoch 43, Train Loss: 2.8491, Val Loss: 2.8548
Epoch 44, Train Loss: 2.8485, Val Loss: 2.8545
Epoch 45, Train Loss: 2.8490, Val Loss: 2.8544
Epoch 46, Train Loss: 2.8487, Val Loss: 2.8559
Epoch 47, Train Loss: 2.8477, Val Loss: 2.8540
Epoch 48, Train Loss: 2.8480, Val Loss: 2.8547
Epoch 49, Train Loss: 2.8477, Val Loss: 2.8536
Epoch 50, Train Loss: 2.8471, Val Loss: 2.8533
Epoch 51, Train Loss: 2.8474, Val Loss: 2.8532
Epoch 52, Train Loss: 2.8472, Val Loss: 2.8557
Epoch 53, Train Loss: 2.8467, Val Loss: 2.8532
Epoch 54, Train Loss: 2.8469, Val Loss: 2.8533
Epoch 55, Train Loss: 2.8459, Val Loss: 2.8521
Epoch 56, Train Loss: 2.8463, Val Loss: 2.8522
Epoch 57, Train Loss: 2.8460, Val Loss: 2.8521
Epoch 58, Train Loss: 2.8458, Val Loss: 2.8521
Epoch 59, Train Loss: 2.8460, Val Loss: 2.8522
Epoch 60, Train Loss: 2.8461, Val Loss: 2.8530
Epoch 61, Train Loss: 2.8457, Val Loss: 2.8509
Epoch 62, Train Loss: 2.8450, Val Loss: 2.8505
Epoch 63, Train Loss: 2.8453, Val Loss: 2.8509
Epoch 64, Train Loss: 2.8448, Val Loss: 2.8513
Epoch 65, Train Loss: 2.8452, Val Loss: 2.8514
Epoch 66, Train Loss: 2.8444, Val Loss: 2.8516
Epoch 67, Train Loss: 2.8442, Val Loss: 2.8501
Epoch 68, Train Loss: 2.8444, Val Loss: 2.8510
Epoch 69, Train Loss: 2.8450, Val Loss: 2.8510
Epoch 70, Train Loss: 2.8440, Val Loss: 2.8521
Epoch 71, Train Loss: 2.8444, Val Loss: 2.8531
Epoch 72, Train Loss: 2.8438, Val Loss: 2.8512
Epoch 73, Train Loss: 2.8438, Val Loss: 2.8499
Epoch 74, Train Loss: 2.8443, Val Loss: 2.8513
Epoch 75, Train Loss: 2.8434, Val Loss: 2.8492
Epoch 76, Train Loss: 2.8430, Val Loss: 2.8507
Epoch 77, Train Loss: 2.8437, Val Loss: 2.8497
Epoch 78, Train Loss: 2.8433, Val Loss: 2.8498
Epoch 79, Train Loss: 2.8435, Val Loss: 2.8487
Epoch 80, Train Loss: 2.8431, Val Loss: 2.8514
Epoch 81, Train Loss: 2.8440, Val Loss: 2.8509
Epoch 82, Train Loss: 2.8433, Val Loss: 2.8512
Epoch 83, Train Loss: 2.8431, Val Loss: 2.8498
Epoch 84, Train Loss: 2.8441, Val Loss: 2.8495
Epoch 85, Train Loss: 2.8433, Val Loss: 2.8493
Epoch 86, Train Loss: 2.8437, Val Loss: 2.8496
Epoch 87, Train Loss: 2.8433, Val Loss: 2.8479
Epoch 88, Train Loss: 2.8435, Val Loss: 2.8590
Epoch 89, Train Loss: 2.8444, Val Loss: 2.8491
Epoch 90, Train Loss: 2.8426, Val Loss: 2.8525
Epoch 91, Train Loss: 2.8435, Val Loss: 2.8490
Epoch 92, Train Loss: 2.8423, Val Loss: 2.8493
Epoch 93, Train Loss: 2.8430, Val Loss: 2.8488
Epoch 94, Train Loss: 2.8433, Val Loss: 2.8481
Epoch 95, Train Loss: 2.8427, Val Loss: 2.8495
