[bootstrap_seed=1, run_id=0] First datapoint: [-1.2631625 -1.6845907]
Epoch 0, Train Loss: 9.6328, Val Loss: 7.2408
Epoch 1, Train Loss: 5.5585, Val Loss: 4.4460
Epoch 2, Train Loss: 4.0229, Val Loss: 3.7149
Epoch 3, Train Loss: 3.5096, Val Loss: 3.3799
Epoch 4, Train Loss: 3.2573, Val Loss: 3.1966
Epoch 5, Train Loss: 3.1292, Val Loss: 3.0993
Epoch 6, Train Loss: 3.0572, Val Loss: 3.0431
Epoch 7, Train Loss: 3.0126, Val Loss: 3.0073
Epoch 8, Train Loss: 2.9817, Val Loss: 2.9817
Epoch 9, Train Loss: 2.9636, Val Loss: 2.9617
Epoch 10, Train Loss: 2.9477, Val Loss: 2.9468
Epoch 11, Train Loss: 2.9354, Val Loss: 2.9327
Epoch 12, Train Loss: 2.9251, Val Loss: 2.9228
Epoch 13, Train Loss: 2.9184, Val Loss: 2.9141
Epoch 14, Train Loss: 2.9108, Val Loss: 2.9067
Epoch 15, Train Loss: 2.9043, Val Loss: 2.9013
Epoch 16, Train Loss: 2.8999, Val Loss: 2.8974
Epoch 17, Train Loss: 2.8939, Val Loss: 2.8914
Epoch 18, Train Loss: 2.8887, Val Loss: 2.8857
Epoch 19, Train Loss: 2.8837, Val Loss: 2.8799
Epoch 20, Train Loss: 2.8808, Val Loss: 2.8773
Epoch 21, Train Loss: 2.8764, Val Loss: 2.8729
Epoch 22, Train Loss: 2.8740, Val Loss: 2.8699
Epoch 23, Train Loss: 2.8711, Val Loss: 2.8674
Epoch 24, Train Loss: 2.8696, Val Loss: 2.8657
Epoch 25, Train Loss: 2.8665, Val Loss: 2.8644
Epoch 26, Train Loss: 2.8645, Val Loss: 2.8614
Epoch 27, Train Loss: 2.8630, Val Loss: 2.8599
Epoch 28, Train Loss: 2.8614, Val Loss: 2.8588
Epoch 29, Train Loss: 2.8594, Val Loss: 2.8570
Epoch 30, Train Loss: 2.8584, Val Loss: 2.8557
Epoch 31, Train Loss: 2.8579, Val Loss: 2.8543
Epoch 32, Train Loss: 2.8566, Val Loss: 2.8573
Epoch 33, Train Loss: 2.8546, Val Loss: 2.8527
Epoch 34, Train Loss: 2.8548, Val Loss: 2.8517
Epoch 35, Train Loss: 2.8527, Val Loss: 2.8509
Epoch 36, Train Loss: 2.8527, Val Loss: 2.8517
Epoch 37, Train Loss: 2.8521, Val Loss: 2.8492
Epoch 38, Train Loss: 2.8512, Val Loss: 2.8495
Epoch 39, Train Loss: 2.8504, Val Loss: 2.8490
Epoch 40, Train Loss: 2.8500, Val Loss: 2.8477
Epoch 41, Train Loss: 2.8495, Val Loss: 2.8485
Epoch 42, Train Loss: 2.8494, Val Loss: 2.8501
Epoch 43, Train Loss: 2.8497, Val Loss: 2.8465
Epoch 44, Train Loss: 2.8479, Val Loss: 2.8468
Epoch 45, Train Loss: 2.8471, Val Loss: 2.8452
Epoch 46, Train Loss: 2.8472, Val Loss: 2.8447
Epoch 47, Train Loss: 2.8468, Val Loss: 2.8444
Epoch 48, Train Loss: 2.8468, Val Loss: 2.8452
Epoch 49, Train Loss: 2.8465, Val Loss: 2.8439
Epoch 50, Train Loss: 2.8458, Val Loss: 2.8434
Epoch 51, Train Loss: 2.8455, Val Loss: 2.8448
Epoch 52, Train Loss: 2.8454, Val Loss: 2.8468
Epoch 53, Train Loss: 2.8460, Val Loss: 2.8432
Epoch 54, Train Loss: 2.8443, Val Loss: 2.8429
Epoch 55, Train Loss: 2.8447, Val Loss: 2.8432
Epoch 56, Train Loss: 2.8442, Val Loss: 2.8429
Epoch 57, Train Loss: 2.8446, Val Loss: 2.8433
Epoch 58, Train Loss: 2.8441, Val Loss: 2.8420
Epoch 59, Train Loss: 2.8440, Val Loss: 2.8418
Epoch 60, Train Loss: 2.8436, Val Loss: 2.8419
Epoch 61, Train Loss: 2.8434, Val Loss: 2.8413
Epoch 62, Train Loss: 2.8432, Val Loss: 2.8409
Epoch 63, Train Loss: 2.8429, Val Loss: 2.8413
Epoch 64, Train Loss: 2.8427, Val Loss: 2.8468
Epoch 65, Train Loss: 2.8429, Val Loss: 2.8401
Epoch 66, Train Loss: 2.8422, Val Loss: 2.8409
Epoch 67, Train Loss: 2.8428, Val Loss: 2.8412
Epoch 68, Train Loss: 2.8421, Val Loss: 2.8409
Epoch 69, Train Loss: 2.8421, Val Loss: 2.8399
Epoch 70, Train Loss: 2.8423, Val Loss: 2.8407
Epoch 71, Train Loss: 2.8417, Val Loss: 2.8407
Epoch 72, Train Loss: 2.8418, Val Loss: 2.8409
Epoch 73, Train Loss: 2.8417, Val Loss: 2.8410
Epoch 74, Train Loss: 2.8412, Val Loss: 2.8404
Epoch 75, Train Loss: 2.8420, Val Loss: 2.8398
Epoch 76, Train Loss: 2.8411, Val Loss: 2.8415
Epoch 77, Train Loss: 2.8413, Val Loss: 2.8456
Epoch 78, Train Loss: 2.8414, Val Loss: 2.8386
Epoch 79, Train Loss: 2.8410, Val Loss: 2.8397
Epoch 80, Train Loss: 2.8409, Val Loss: 2.8400
Epoch 81, Train Loss: 2.8412, Val Loss: 2.8394
Epoch 82, Train Loss: 2.8416, Val Loss: 2.8402
Epoch 83, Train Loss: 2.8406, Val Loss: 2.8395
Epoch 84, Train Loss: 2.8398, Val Loss: 2.8402
Epoch 85, Train Loss: 2.8394, Val Loss: 2.8407
Epoch 86, Train Loss: 2.8407, Val Loss: 2.8402
Epoch 87, Train Loss: 2.8406, Val Loss: 2.8393
Early stopping triggered
Training complete.
