[bootstrap_seed=1, run_id=1] First datapoint: [-0.8273277  1.0620954]
Epoch 0, Train Loss: 9.6739, Val Loss: 7.3547
Epoch 1, Train Loss: 6.2918, Val Loss: 5.1369
Epoch 2, Train Loss: 4.3842, Val Loss: 3.8172
Epoch 3, Train Loss: 3.5959, Val Loss: 3.4130
Epoch 4, Train Loss: 3.3196, Val Loss: 3.2102
Epoch 5, Train Loss: 3.1701, Val Loss: 3.1000
Epoch 6, Train Loss: 3.0900, Val Loss: 3.0389
Epoch 7, Train Loss: 3.0389, Val Loss: 2.9985
Epoch 8, Train Loss: 3.0051, Val Loss: 2.9701
Epoch 9, Train Loss: 2.9833, Val Loss: 2.9497
Epoch 10, Train Loss: 2.9667, Val Loss: 2.9359
Epoch 11, Train Loss: 2.9535, Val Loss: 2.9245
Epoch 12, Train Loss: 2.9424, Val Loss: 2.9152
Epoch 13, Train Loss: 2.9331, Val Loss: 2.9071
Epoch 14, Train Loss: 2.9261, Val Loss: 2.8977
Epoch 15, Train Loss: 2.9201, Val Loss: 2.8916
Epoch 16, Train Loss: 2.9139, Val Loss: 2.8868
Epoch 17, Train Loss: 2.9078, Val Loss: 2.8828
Epoch 18, Train Loss: 2.9053, Val Loss: 2.8790
Epoch 19, Train Loss: 2.9011, Val Loss: 2.8753
Epoch 20, Train Loss: 2.8967, Val Loss: 2.8724
Epoch 21, Train Loss: 2.8930, Val Loss: 2.8712
Epoch 22, Train Loss: 2.8901, Val Loss: 2.8675
Epoch 23, Train Loss: 2.8870, Val Loss: 2.8645
Epoch 24, Train Loss: 2.8839, Val Loss: 2.8625
Epoch 25, Train Loss: 2.8815, Val Loss: 2.8612
Epoch 26, Train Loss: 2.8797, Val Loss: 2.8586
Epoch 27, Train Loss: 2.8780, Val Loss: 2.8576
Epoch 28, Train Loss: 2.8765, Val Loss: 2.8553
Epoch 29, Train Loss: 2.8742, Val Loss: 2.8543
Epoch 30, Train Loss: 2.8730, Val Loss: 2.8527
Epoch 31, Train Loss: 2.8723, Val Loss: 2.8517
Epoch 32, Train Loss: 2.8704, Val Loss: 2.8521
Epoch 33, Train Loss: 2.8692, Val Loss: 2.8494
Epoch 34, Train Loss: 2.8688, Val Loss: 2.8485
Epoch 35, Train Loss: 2.8677, Val Loss: 2.8487
Epoch 36, Train Loss: 2.8666, Val Loss: 2.8469
Epoch 37, Train Loss: 2.8660, Val Loss: 2.8474
Epoch 38, Train Loss: 2.8644, Val Loss: 2.8450
Epoch 39, Train Loss: 2.8641, Val Loss: 2.8457
Epoch 40, Train Loss: 2.8640, Val Loss: 2.8459
Epoch 41, Train Loss: 2.8629, Val Loss: 2.8433
Epoch 42, Train Loss: 2.8621, Val Loss: 2.8429
Epoch 43, Train Loss: 2.8614, Val Loss: 2.8419
Epoch 44, Train Loss: 2.8610, Val Loss: 2.8420
Epoch 45, Train Loss: 2.8602, Val Loss: 2.8407
Epoch 46, Train Loss: 2.8599, Val Loss: 2.8408
Epoch 47, Train Loss: 2.8597, Val Loss: 2.8425
Epoch 48, Train Loss: 2.8592, Val Loss: 2.8415
Epoch 49, Train Loss: 2.8585, Val Loss: 2.8442
Epoch 50, Train Loss: 2.8576, Val Loss: 2.8393
Epoch 51, Train Loss: 2.8576, Val Loss: 2.8412
Epoch 52, Train Loss: 2.8575, Val Loss: 2.8389
Epoch 53, Train Loss: 2.8568, Val Loss: 2.8391
Epoch 54, Train Loss: 2.8564, Val Loss: 2.8395
Epoch 55, Train Loss: 2.8561, Val Loss: 2.8398
Epoch 56, Train Loss: 2.8561, Val Loss: 2.8383
Epoch 57, Train Loss: 2.8560, Val Loss: 2.8377
Epoch 58, Train Loss: 2.8556, Val Loss: 2.8379
Epoch 59, Train Loss: 2.8560, Val Loss: 2.8383
Epoch 60, Train Loss: 2.8554, Val Loss: 2.8401
Epoch 61, Train Loss: 2.8551, Val Loss: 2.8389
Epoch 62, Train Loss: 2.8551, Val Loss: 2.8377
Epoch 63, Train Loss: 2.8553, Val Loss: 2.8368
Epoch 64, Train Loss: 2.8554, Val Loss: 2.8385
Epoch 65, Train Loss: 2.8547, Val Loss: 2.8369
Epoch 66, Train Loss: 2.8548, Val Loss: 2.8378
Epoch 67, Train Loss: 2.8542, Val Loss: 2.8396
Epoch 68, Train Loss: 2.8542, Val Loss: 2.8380
Epoch 69, Train Loss: 2.8540, Val Loss: 2.8422
Epoch 70, Train Loss: 2.8538, Val Loss: 2.8374
Epoch 71, Train Loss: 2.8543, Val Loss: 2.8373
Epoch 72, Train Loss: 2.8537, Val Loss: 2.8366
Epoch 73, Train Loss: 2.8532, Val Loss: 2.8405
Epoch 74, Train Loss: 2.8532, Val Loss: 2.8370
Epoch 75, Train Loss: 2.8535, Val Loss: 2.8377
Epoch 76, Train Loss: 2.8533, Val Loss: 2.8382
Epoch 77, Train Loss: 2.8530, Val Loss: 2.8358
Epoch 78, Train Loss: 2.8539, Val Loss: 2.8388
Epoch 79, Train Loss: 2.8535, Val Loss: 2.8365
Epoch 80, Train Loss: 2.8538, Val Loss: 2.8384
Epoch 81, Train Loss: 2.8527, Val Loss: 2.8361
Epoch 82, Train Loss: 2.8525, Val Loss: 2.8381
Epoch 83, Train Loss: 2.8526, Val Loss: 2.8368
Epoch 84, Train Loss: 2.8530, Val Loss: 2.8441
Epoch 85, Train Loss: 2.8527, Val Loss: 2.8360
Epoch 86, Train Loss: 2.8528, Val Loss: 2.8369
Early stopping triggered
Training complete.
