/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_4_4_64_12_302783
Epoch 0, Avg Train Loss: 15.9221, Avg Validation Loss: 10.0147
Epoch 1, Avg Train Loss: 7.6913, Avg Validation Loss: 6.2909
Epoch 2, Avg Train Loss: 5.4851, Avg Validation Loss: 4.8146
Epoch 3, Avg Train Loss: 4.2732, Avg Validation Loss: 3.8685
Epoch 4, Avg Train Loss: 3.6707, Avg Validation Loss: 3.5740
Epoch 5, Avg Train Loss: 3.4812, Avg Validation Loss: 3.4503
Epoch 6, Avg Train Loss: 3.3916, Avg Validation Loss: 3.3837
Epoch 7, Avg Train Loss: 3.3400, Avg Validation Loss: 3.3405
Epoch 8, Avg Train Loss: 3.3028, Avg Validation Loss: 3.3070
Epoch 9, Avg Train Loss: 3.2730, Avg Validation Loss: 3.2770
Epoch 10, Avg Train Loss: 3.2455, Avg Validation Loss: 3.2490
Epoch 11, Avg Train Loss: 3.2195, Avg Validation Loss: 3.2235
Epoch 12, Avg Train Loss: 3.1972, Avg Validation Loss: 3.2001
Epoch 13, Avg Train Loss: 3.1748, Avg Validation Loss: 3.1780
Epoch 14, Avg Train Loss: 3.1534, Avg Validation Loss: 3.1574
Epoch 15, Avg Train Loss: 3.1328, Avg Validation Loss: 3.1382
Epoch 16, Avg Train Loss: 3.1142, Avg Validation Loss: 3.1200
Epoch 17, Avg Train Loss: 3.0978, Avg Validation Loss: 3.1032
Epoch 18, Avg Train Loss: 3.0820, Avg Validation Loss: 3.0874
Epoch 19, Avg Train Loss: 3.0672, Avg Validation Loss: 3.0722
Epoch 20, Avg Train Loss: 3.0529, Avg Validation Loss: 3.0578
Epoch 21, Avg Train Loss: 3.0392, Avg Validation Loss: 3.0444
Epoch 22, Avg Train Loss: 3.0286, Avg Validation Loss: 3.0322
Epoch 23, Avg Train Loss: 3.0170, Avg Validation Loss: 3.0208
Epoch 24, Avg Train Loss: 3.0064, Avg Validation Loss: 3.0100
Epoch 25, Avg Train Loss: 2.9955, Avg Validation Loss: 2.9995
Epoch 26, Avg Train Loss: 2.9846, Avg Validation Loss: 2.9895
Epoch 27, Avg Train Loss: 2.9762, Avg Validation Loss: 2.9798
Epoch 28, Avg Train Loss: 2.9663, Avg Validation Loss: 2.9703
Epoch 29, Avg Train Loss: 2.9579, Avg Validation Loss: 2.9615
Epoch 30, Avg Train Loss: 2.9496, Avg Validation Loss: 2.9533
Epoch 31, Avg Train Loss: 2.9428, Avg Validation Loss: 2.9456
Epoch 32, Avg Train Loss: 2.9354, Avg Validation Loss: 2.9385
Epoch 33, Avg Train Loss: 2.9291, Avg Validation Loss: 2.9323
Epoch 34, Avg Train Loss: 2.9234, Avg Validation Loss: 2.9264
Epoch 35, Avg Train Loss: 2.9179, Avg Validation Loss: 2.9212
Epoch 36, Avg Train Loss: 2.9137, Avg Validation Loss: 2.9169
Epoch 37, Avg Train Loss: 2.9089, Avg Validation Loss: 2.9124
Epoch 38, Avg Train Loss: 2.9053, Avg Validation Loss: 2.9084
Epoch 39, Avg Train Loss: 2.9019, Avg Validation Loss: 2.9053
Epoch 40, Avg Train Loss: 2.8985, Avg Validation Loss: 2.9023
Epoch 41, Avg Train Loss: 2.8958, Avg Validation Loss: 2.8998
Epoch 42, Avg Train Loss: 2.8928, Avg Validation Loss: 2.8970
Epoch 43, Avg Train Loss: 2.8897, Avg Validation Loss: 2.8943
Epoch 44, Avg Train Loss: 2.8872, Avg Validation Loss: 2.8919
Epoch 45, Avg Train Loss: 2.8849, Avg Validation Loss: 2.8897
Epoch 46, Avg Train Loss: 2.8833, Avg Validation Loss: 2.8876
Epoch 47, Avg Train Loss: 2.8813, Avg Validation Loss: 2.8858
Epoch 48, Avg Train Loss: 2.8782, Avg Validation Loss: 2.8841
Epoch 49, Avg Train Loss: 2.8759, Avg Validation Loss: 2.8821
Epoch 50, Avg Train Loss: 2.8750, Avg Validation Loss: 2.8798
Epoch 51, Avg Train Loss: 2.8727, Avg Validation Loss: 2.8780
Epoch 52, Avg Train Loss: 2.8707, Avg Validation Loss: 2.8766
Epoch 53, Avg Train Loss: 2.8696, Avg Validation Loss: 2.8753
Epoch 54, Avg Train Loss: 2.8678, Avg Validation Loss: 2.8743
Epoch 55, Avg Train Loss: 2.8676, Avg Validation Loss: 2.8730
Epoch 56, Avg Train Loss: 2.8655, Avg Validation Loss: 2.8729
Epoch 57, Avg Train Loss: 2.8639, Avg Validation Loss: 2.8733
Epoch 58, Avg Train Loss: 2.8645, Avg Validation Loss: 2.8706
Epoch 59, Avg Train Loss: 2.8628, Avg Validation Loss: 2.8697
Epoch 60, Avg Train Loss: 2.8614, Avg Validation Loss: 2.8686
Epoch 61, Avg Train Loss: 2.8606, Avg Validation Loss: 2.8682
Epoch 62, Avg Train Loss: 2.8604, Avg Validation Loss: 2.8671
Epoch 63, Avg Train Loss: 2.8587, Avg Validation Loss: 2.8673
Epoch 64, Avg Train Loss: 2.8579, Avg Validation Loss: 2.8681
Epoch 65, Avg Train Loss: 2.8576, Avg Validation Loss: 2.8655
