/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_4_6_256_16_303083
Epoch 0, Avg Train Loss: 5.4778, Avg Validation Loss: 3.6814
Epoch 1, Avg Train Loss: 3.3714, Avg Validation Loss: 3.1482
Epoch 2, Avg Train Loss: 3.0767, Avg Validation Loss: 3.0256
Epoch 3, Avg Train Loss: 3.0000, Avg Validation Loss: 2.9814
Epoch 4, Avg Train Loss: 2.9662, Avg Validation Loss: 2.9551
Epoch 5, Avg Train Loss: 2.9426, Avg Validation Loss: 2.9337
Epoch 6, Avg Train Loss: 2.9259, Avg Validation Loss: 2.9191
Epoch 7, Avg Train Loss: 2.9132, Avg Validation Loss: 2.9063
Epoch 8, Avg Train Loss: 2.9024, Avg Validation Loss: 2.8975
Epoch 9, Avg Train Loss: 2.8936, Avg Validation Loss: 2.8904
Epoch 10, Avg Train Loss: 2.8885, Avg Validation Loss: 2.8858
Epoch 11, Avg Train Loss: 2.8836, Avg Validation Loss: 2.8800
Epoch 12, Avg Train Loss: 2.8798, Avg Validation Loss: 2.8772
Epoch 13, Avg Train Loss: 2.8759, Avg Validation Loss: 2.8739
Epoch 14, Avg Train Loss: 2.8740, Avg Validation Loss: 2.8733
Epoch 15, Avg Train Loss: 2.8706, Avg Validation Loss: 2.8712
Epoch 16, Avg Train Loss: 2.8693, Avg Validation Loss: 2.8673
Epoch 17, Avg Train Loss: 2.8682, Avg Validation Loss: 2.8660
Epoch 18, Avg Train Loss: 2.8666, Avg Validation Loss: 2.8699
Epoch 19, Avg Train Loss: 2.8637, Avg Validation Loss: 2.8638
Epoch 20, Avg Train Loss: 2.8634, Avg Validation Loss: 2.8636
Epoch 21, Avg Train Loss: 2.8616, Avg Validation Loss: 2.8614
Epoch 22, Avg Train Loss: 2.8604, Avg Validation Loss: 2.8635
Epoch 23, Avg Train Loss: 2.8613, Avg Validation Loss: 2.8591
Epoch 24, Avg Train Loss: 2.8604, Avg Validation Loss: 2.8642
Epoch 25, Avg Train Loss: 2.8596, Avg Validation Loss: 2.8583
Epoch 26, Avg Train Loss: 2.8586, Avg Validation Loss: 2.8574
Epoch 27, Avg Train Loss: 2.8584, Avg Validation Loss: 2.8571
Epoch 28, Avg Train Loss: 2.8573, Avg Validation Loss: 2.8605
Epoch 29, Avg Train Loss: 2.8566, Avg Validation Loss: 2.8563
Epoch 30, Avg Train Loss: 2.8565, Avg Validation Loss: 2.8549
Epoch 31, Avg Train Loss: 2.8549, Avg Validation Loss: 2.8548
Epoch 32, Avg Train Loss: 2.8555, Avg Validation Loss: 2.8564
Epoch 33, Avg Train Loss: 2.8557, Avg Validation Loss: 2.8554
Epoch 34, Avg Train Loss: 2.8561, Avg Validation Loss: 2.8554
Epoch 35, Avg Train Loss: 2.8547, Avg Validation Loss: 2.8538
Epoch 36, Avg Train Loss: 2.8540, Avg Validation Loss: 2.8542
Epoch 37, Avg Train Loss: 2.8547, Avg Validation Loss: 2.8586
Epoch 38, Avg Train Loss: 2.8536, Avg Validation Loss: 2.8585
Epoch 39, Avg Train Loss: 2.8550, Avg Validation Loss: 2.8579
Epoch 40, Avg Train Loss: 2.8537, Avg Validation Loss: 2.8528
Epoch 41, Avg Train Loss: 2.8527, Avg Validation Loss: 2.8523
Epoch 42, Avg Train Loss: 2.8534, Avg Validation Loss: 2.8548
Epoch 43, Avg Train Loss: 2.8528, Avg Validation Loss: 2.8512
Epoch 44, Avg Train Loss: 2.8536, Avg Validation Loss: 2.8545
Epoch 45, Avg Train Loss: 2.8527, Avg Validation Loss: 2.8544
Epoch 46, Avg Train Loss: 2.8516, Avg Validation Loss: 2.8512
Epoch 47, Avg Train Loss: 2.8525, Avg Validation Loss: 2.8516
Epoch 48, Avg Train Loss: 2.8521, Avg Validation Loss: 2.8564
Epoch 49, Avg Train Loss: 2.8525, Avg Validation Loss: 2.8575
Epoch 50, Avg Train Loss: 2.8521, Avg Validation Loss: 2.8529
Epoch 51, Avg Train Loss: 2.8524, Avg Validation Loss: 2.8516
Epoch 52, Avg Train Loss: 2.8520, Avg Validation Loss: 2.8510
Epoch 53, Avg Train Loss: 2.8519, Avg Validation Loss: 2.8544
Epoch 54, Avg Train Loss: 2.8511, Avg Validation Loss: 2.8542
Epoch 55, Avg Train Loss: 2.8520, Avg Validation Loss: 2.8511
Epoch 56, Avg Train Loss: 2.8509, Avg Validation Loss: 2.8554
Epoch 57, Avg Train Loss: 2.8505, Avg Validation Loss: 2.8500
Epoch 58, Avg Train Loss: 2.8506, Avg Validation Loss: 2.8501
Epoch 59, Avg Train Loss: 2.8504, Avg Validation Loss: 2.8528
Epoch 60, Avg Train Loss: 2.8519, Avg Validation Loss: 2.8515
Epoch 61, Avg Train Loss: 2.8517, Avg Validation Loss: 2.8513
Epoch 62, Avg Train Loss: 2.8530, Avg Validation Loss: 2.8568
Epoch 63, Avg Train Loss: 2.8509, Avg Validation Loss: 2.8527
Epoch 64, Avg Train Loss: 2.8530, Avg Validation Loss: 2.8605
Epoch 65, Avg Train Loss: 2.8539, Avg Validation Loss: 2.8555
Epoch 66, Avg Train Loss: 2.8502, Avg Validation Loss: 2.8564
Early stopping triggered
Best model loaded successfully.
KL divergence saved successfully.
KL divergence saved successfully.
