/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_10_layers_10_transformations_256_neurons_30_bins_128_batch_size_288563
Epoch 0, Avg Train Loss: 3.1215, Avg Validation Loss: 3.0011
Epoch 1, Avg Train Loss: 2.6840, Avg Validation Loss: 2.6650
Epoch 2, Avg Train Loss: 2.6070, Avg Validation Loss: 2.5910
Epoch 3, Avg Train Loss: 2.5366, Avg Validation Loss: 2.5865
Epoch 4, Avg Train Loss: 2.5111, Avg Validation Loss: 2.5260
Epoch 5, Avg Train Loss: 2.4519, Avg Validation Loss: 2.4461
Epoch 6, Avg Train Loss: 2.4476, Avg Validation Loss: 2.4746
Epoch 7, Avg Train Loss: 2.4491, Avg Validation Loss: 2.4725
Epoch 8, Avg Train Loss: 2.4450, Avg Validation Loss: 2.5438
Epoch 9, Avg Train Loss: 2.4359, Avg Validation Loss: 2.4366
Epoch 10, Avg Train Loss: 2.4338, Avg Validation Loss: 2.4942
Epoch 11, Avg Train Loss: 2.4272, Avg Validation Loss: 2.5487
Epoch 12, Avg Train Loss: 2.4367, Avg Validation Loss: 2.4424
Epoch 13, Avg Train Loss: 2.4257, Avg Validation Loss: 2.5207
Epoch 14, Avg Train Loss: 2.4270, Avg Validation Loss: 2.4572
Epoch 15, Avg Train Loss: 2.4262, Avg Validation Loss: 2.4483
Epoch 16, Avg Train Loss: 2.4126, Avg Validation Loss: 2.4758
Epoch 17, Avg Train Loss: 2.4168, Avg Validation Loss: 2.4350
Epoch 18, Avg Train Loss: 2.4075, Avg Validation Loss: 2.4633
Epoch 19, Avg Train Loss: 2.3928, Avg Validation Loss: 2.4242
Epoch 20, Avg Train Loss: 2.3943, Avg Validation Loss: 2.4349
Epoch 21, Avg Train Loss: 2.3988, Avg Validation Loss: 2.4015
Epoch 22, Avg Train Loss: 2.3874, Avg Validation Loss: 2.4547
Epoch 23, Avg Train Loss: 2.3980, Avg Validation Loss: 2.4607
Epoch 24, Avg Train Loss: 2.4198, Avg Validation Loss: 2.4367
Epoch 25, Avg Train Loss: 2.3832, Avg Validation Loss: 2.4177
Early stopping triggered
