/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_1_neurons_2_layers_4001_epochs_StandardScaler_171776
-1.7335108248887374 11.595510577901942
Epoch 0, Train Loss: 2.9825470447540283, Validation Loss: 2.9836654663085938
Epoch 1, Train Loss: 2.9820456504821777, Validation Loss: 2.983182430267334
Epoch 2, Train Loss: 2.981543779373169, Validation Loss: 2.982698678970337
Epoch 3, Train Loss: 2.98104190826416, Validation Loss: 2.9822142124176025
Epoch 4, Train Loss: 2.980539560317993, Validation Loss: 2.9817309379577637
Epoch 5, Train Loss: 2.9800355434417725, Validation Loss: 2.981248617172241
Epoch 6, Train Loss: 2.9795315265655518, Validation Loss: 2.9807658195495605
Epoch 7, Train Loss: 2.979027032852173, Validation Loss: 2.980282783508301
Epoch 8, Train Loss: 2.978522539138794, Validation Loss: 2.9797990322113037
Epoch 9, Train Loss: 2.9780168533325195, Validation Loss: 2.9793148040771484
Epoch 10, Train Loss: 2.977510690689087, Validation Loss: 2.9788308143615723
Epoch 11, Train Loss: 2.9770045280456543, Validation Loss: 2.978346586227417
Epoch 12, Train Loss: 2.976497173309326, Validation Loss: 2.977861166000366
Epoch 13, Train Loss: 2.975990056991577, Validation Loss: 2.9773759841918945
Epoch 14, Train Loss: 2.975482702255249, Validation Loss: 2.976891040802002
Epoch 15, Train Loss: 2.9749741554260254, Validation Loss: 2.976405382156372
Epoch 16, Train Loss: 2.974465847015381, Validation Loss: 2.975919723510742
Epoch 17, Train Loss: 2.973956346511841, Validation Loss: 2.975433111190796
Epoch 18, Train Loss: 2.973446846008301, Validation Loss: 2.9749457836151123
Epoch 19, Train Loss: 2.9729366302490234, Validation Loss: 2.9744577407836914
Epoch 20, Train Loss: 2.972425937652588, Validation Loss: 2.973968982696533
Epoch 21, Train Loss: 2.971914529800415, Validation Loss: 2.973479986190796
Epoch 22, Train Loss: 2.971402645111084, Validation Loss: 2.9729905128479004
Epoch 23, Train Loss: 2.970890522003174, Validation Loss: 2.9725000858306885
Epoch 24, Train Loss: 2.9703781604766846, Validation Loss: 2.9720094203948975
Epoch 25, Train Loss: 2.969865083694458, Validation Loss: 2.971517562866211
Epoch 26, Train Loss: 2.9693522453308105, Validation Loss: 2.971024990081787
Epoch 27, Train Loss: 2.968838691711426, Validation Loss: 2.970531940460205
Epoch 28, Train Loss: 2.9683241844177246, Validation Loss: 2.9700376987457275
Epoch 29, Train Loss: 2.967808961868286, Validation Loss: 2.9695420265197754
Epoch 30, Train Loss: 2.9672932624816895, Validation Loss: 2.9690468311309814
Epoch 31, Train Loss: 2.9667773246765137, Validation Loss: 2.9685513973236084
Epoch 32, Train Loss: 2.9662609100341797, Validation Loss: 2.968055009841919
Epoch 33, Train Loss: 2.965744733810425, Validation Loss: 2.967556953430176
Epoch 34, Train Loss: 2.9652278423309326, Validation Loss: 2.967057704925537
Epoch 35, Train Loss: 2.9647111892700195, Validation Loss: 2.9665582180023193
Epoch 36, Train Loss: 2.964193344116211, Validation Loss: 2.9660589694976807
Epoch 37, Train Loss: 2.9636757373809814, Validation Loss: 2.9655590057373047
Epoch 38, Train Loss: 2.9631574153900146, Validation Loss: 2.9650585651397705
Epoch 39, Train Loss: 2.9626383781433105, Validation Loss: 2.964557409286499
Epoch 40, Train Loss: 2.9621188640594482, Validation Loss: 2.9640560150146484
Epoch 41, Train Loss: 2.9615983963012695, Validation Loss: 2.9635539054870605
Epoch 42, Train Loss: 2.961077928543091, Validation Loss: 2.9630510807037354
Epoch 43, Train Loss: 2.960556745529175, Validation Loss: 2.9625473022460938
Epoch 44, Train Loss: 2.9600353240966797, Validation Loss: 2.962043285369873
Epoch 45, Train Loss: 2.9595134258270264, Validation Loss: 2.961538553237915
Epoch 46, Train Loss: 2.958991050720215, Validation Loss: 2.9610323905944824
Epoch 47, Train Loss: 2.958467483520508, Validation Loss: 2.9605252742767334
Epoch 48, Train Loss: 2.95794415473938, Validation Loss: 2.960017681121826
Epoch 49, Train Loss: 2.9574198722839355, Validation Loss: 2.95950984954834
Epoch 50, Train Loss: 2.956894874572754, Validation Loss: 2.959001064300537
Epoch 51, Train Loss: 2.956369161605835, Validation Loss: 2.958491563796997
Epoch 52, Train Loss: 2.9558427333831787, Validation Loss: 2.9579813480377197
Epoch 53, Train Loss: 2.955315351486206, Validation Loss: 2.957470178604126
Epoch 54, Train Loss: 2.954787492752075, Validation Loss: 2.956958532333374
Epoch 55, Train Loss: 2.9542596340179443, Validation Loss: 2.9564473628997803
Epoch 56, Train Loss: 2.953730821609497, Validation Loss: 2.95593523979187
Epoch 57, Train Loss: 2.95320200920105, Validation Loss: 2.955422878265381
Epoch 58, Train Loss: 2.952672243118286, Validation Loss: 2.954909086227417
Epoch 59, Train Loss: 2.9521422386169434, Validation Loss: 2.954394817352295
Epoch 60, Train Loss: 2.951611280441284, Validation Loss: 2.953878879547119
Epoch 61, Train Loss: 2.9510796070098877, Validation Loss: 2.953362464904785
Epoch 62, Train Loss: 2.950547695159912, Validation Loss: 2.9528448581695557
Epoch 63, Train Loss: 2.95001482963562, Validation Loss: 2.952326774597168
Epoch 64, Train Loss: 2.949481248855591, Validation Loss: 2.9518074989318848
Epoch 65, Train Loss: 2.9489481449127197, Validation Loss: 2.9512882232666016
Epoch 66, Train Loss: 2.9484140872955322, Validation Loss: 2.95076847076416
Epoch 67, Train Loss: 2.9478797912597656, Validation Loss: 2.9502484798431396
Epoch 68, Train Loss: 2.9473445415496826, Validation Loss: 2.949727773666382
Epoch 69, Train Loss: 2.9468085765838623, Validation Loss: 2.949206590652466
Epoch 70, Train Loss: 2.9462716579437256, Validation Loss: 2.9486849308013916
Epoch 71, Train Loss: 2.9457340240478516, Validation Loss: 2.948162794113159
Epoch 72, Train Loss: 2.945195436477661, Validation Loss: 2.9476394653320312
Epoch 73, Train Loss: 2.9446561336517334, Validation Loss: 2.947115421295166
Epoch 74, Train Loss: 2.9441161155700684, Validation Loss: 2.9465909004211426
Epoch 75, Train Loss: 2.943574905395508, Validation Loss: 2.946065664291382
Epoch 76, Train Loss: 2.943033218383789, Validation Loss: 2.945539712905884
Epoch 77, Train Loss: 2.942490339279175, Validation Loss: 2.9450128078460693
Epoch 78, Train Loss: 2.941946506500244, Validation Loss: 2.944485664367676
Epoch 79, Train Loss: 2.941401481628418, Validation Loss: 2.943957805633545
Epoch 80, Train Loss: 2.9408555030822754, Validation Loss: 2.9434292316436768
Epoch 81, Train Loss: 2.9403090476989746, Validation Loss: 2.9429008960723877
Epoch 82, Train Loss: 2.9397621154785156, Validation Loss: 2.942371368408203
Epoch 83, Train Loss: 2.939213991165161, Validation Loss: 2.9418411254882812
Epoch 84, Train Loss: 2.9386653900146484, Validation Loss: 2.941310405731201
Epoch 85, Train Loss: 2.9381165504455566, Validation Loss: 2.940779209136963
Epoch 86, Train Loss: 2.9375667572021484, Validation Loss: 2.9402477741241455
Epoch 87, Train Loss: 2.937016487121582, Validation Loss: 2.939716100692749
Epoch 88, Train Loss: 2.936464786529541, Validation Loss: 2.9391841888427734
Epoch 89, Train Loss: 2.9359130859375, Validation Loss: 2.9386513233184814
Epoch 90, Train Loss: 2.935360908508301, Validation Loss: 2.938117742538452
Epoch 91, Train Loss: 2.9348082542419434, Validation Loss: 2.9375836849212646
Epoch 92, Train Loss: 2.934255361557007, Validation Loss: 2.93704891204834
Epoch 93, Train Loss: 2.933701753616333, Validation Loss: 2.936513662338257
Epoch 94, Train Loss: 2.933147668838501, Validation Loss: 2.9359781742095947
Epoch 95, Train Loss: 2.9325926303863525, Validation Loss: 2.9354426860809326
Epoch 96, Train Loss: 2.9320366382598877, Validation Loss: 2.934906244277954
Epoch 97, Train Loss: 2.931480884552002, Validation Loss: 2.934368371963501
Epoch 98, Train Loss: 2.9309241771698, Validation Loss: 2.933828353881836
Epoch 99, Train Loss: 2.9303665161132812, Validation Loss: 2.93328857421875
Epoch 100, Train Loss: 2.9298081398010254, Validation Loss: 2.9327478408813477
Epoch 101, Train Loss: 2.9292492866516113, Validation Loss: 2.9322071075439453
Epoch 102, Train Loss: 2.928689956665039, Validation Loss: 2.9316654205322266
Epoch 103, Train Loss: 2.9281299114227295, Validation Loss: 2.9311234951019287
Epoch 104, Train Loss: 2.9275691509246826, Validation Loss: 2.9305806159973145
Epoch 105, Train Loss: 2.9270079135894775, Validation Loss: 2.930037498474121
Epoch 106, Train Loss: 2.9264461994171143, Validation Loss: 2.9294941425323486
Epoch 107, Train Loss: 2.9258832931518555, Validation Loss: 2.9289488792419434
Epoch 108, Train Loss: 2.925318956375122, Validation Loss: 2.92840313911438
Epoch 109, Train Loss: 2.9247536659240723, Validation Loss: 2.9278554916381836
Epoch 110, Train Loss: 2.924187421798706, Validation Loss: 2.927306890487671
Epoch 111, Train Loss: 2.9236199855804443, Validation Loss: 2.9267566204071045
Epoch 112, Train Loss: 2.923051595687866, Validation Loss: 2.926206350326538
Epoch 113, Train Loss: 2.922482490539551, Validation Loss: 2.9256556034088135
Epoch 114, Train Loss: 2.921912670135498, Validation Loss: 2.925105333328247
Epoch 115, Train Loss: 2.921342134475708, Validation Loss: 2.9245524406433105
Epoch 116, Train Loss: 2.9207711219787598, Validation Loss: 2.9239983558654785
Epoch 117, Train Loss: 2.9201996326446533, Validation Loss: 2.923443078994751
Epoch 118, Train Loss: 2.9196267127990723, Validation Loss: 2.9228873252868652
Epoch 119, Train Loss: 2.919052839279175, Validation Loss: 2.922330379486084
Epoch 120, Train Loss: 2.918478012084961, Validation Loss: 2.921773910522461
Epoch 121, Train Loss: 2.917902708053589, Validation Loss: 2.9212164878845215
Epoch 122, Train Loss: 2.9173264503479004, Validation Loss: 2.920658588409424
Epoch 123, Train Loss: 2.9167492389678955, Validation Loss: 2.9200994968414307
Epoch 124, Train Loss: 2.916171073913574, Validation Loss: 2.919539451599121
Epoch 125, Train Loss: 2.915592670440674, Validation Loss: 2.9189791679382324
Epoch 126, Train Loss: 2.9150125980377197, Validation Loss: 2.9184179306030273
Epoch 127, Train Loss: 2.914431571960449, Validation Loss: 2.917855978012085
Epoch 128, Train Loss: 2.9138498306274414, Validation Loss: 2.917293071746826
Epoch 129, Train Loss: 2.913266897201538, Validation Loss: 2.9167287349700928
Epoch 130, Train Loss: 2.9126834869384766, Validation Loss: 2.9161646366119385
Epoch 131, Train Loss: 2.9120991230010986, Validation Loss: 2.915600538253784
Epoch 132, Train Loss: 2.9115145206451416, Validation Loss: 2.915034770965576
Epoch 133, Train Loss: 2.9109280109405518, Validation Loss: 2.9144673347473145
Epoch 134, Train Loss: 2.9103405475616455, Validation Loss: 2.9138989448547363
Epoch 135, Train Loss: 2.9097516536712646, Validation Loss: 2.913329839706421
Epoch 136, Train Loss: 2.909161329269409, Validation Loss: 2.9127607345581055
Epoch 137, Train Loss: 2.908569812774658, Validation Loss: 2.9121897220611572
Epoch 138, Train Loss: 2.9079771041870117, Validation Loss: 2.9116179943084717
Epoch 139, Train Loss: 2.907383918762207, Validation Loss: 2.911045551300049
Epoch 140, Train Loss: 2.906790018081665, Validation Loss: 2.9104714393615723
Epoch 141, Train Loss: 2.9061944484710693, Validation Loss: 2.9098966121673584
Epoch 142, Train Loss: 2.9055979251861572, Validation Loss: 2.909320831298828
Epoch 143, Train Loss: 2.9050002098083496, Validation Loss: 2.9087438583374023
Epoch 144, Train Loss: 2.9044010639190674, Validation Loss: 2.9081661701202393
Epoch 145, Train Loss: 2.903801202774048, Validation Loss: 2.9075868129730225
Epoch 146, Train Loss: 2.9031999111175537, Validation Loss: 2.907005786895752
Epoch 147, Train Loss: 2.902597665786743, Validation Loss: 2.9064252376556396
Epoch 148, Train Loss: 2.901993751525879, Validation Loss: 2.9058432579040527
Epoch 149, Train Loss: 2.901388168334961, Validation Loss: 2.905259847640991
Epoch 150, Train Loss: 2.9007821083068848, Validation Loss: 2.904674768447876
Epoch 151, Train Loss: 2.900174140930176, Validation Loss: 2.9040889739990234
Epoch 152, Train Loss: 2.899564743041992, Validation Loss: 2.9035019874572754
Epoch 153, Train Loss: 2.8989546298980713, Validation Loss: 2.902914524078369
Epoch 154, Train Loss: 2.8983421325683594, Validation Loss: 2.9023258686065674
Epoch 155, Train Loss: 2.8977279663085938, Validation Loss: 2.90173602104187
Epoch 156, Train Loss: 2.8971126079559326, Validation Loss: 2.90114426612854
Epoch 157, Train Loss: 2.8964948654174805, Validation Loss: 2.900552272796631
Epoch 158, Train Loss: 2.895876884460449, Validation Loss: 2.899959087371826
Epoch 159, Train Loss: 2.8952577114105225, Validation Loss: 2.8993656635284424
Epoch 160, Train Loss: 2.8946378231048584, Validation Loss: 2.898771047592163
Epoch 161, Train Loss: 2.894017219543457, Validation Loss: 2.8981754779815674
Epoch 162, Train Loss: 2.89339542388916, Validation Loss: 2.8975777626037598
Epoch 163, Train Loss: 2.892773151397705, Validation Loss: 2.896979570388794
Epoch 164, Train Loss: 2.8921492099761963, Validation Loss: 2.896378517150879
Epoch 165, Train Loss: 2.891524314880371, Validation Loss: 2.8957762718200684
Epoch 166, Train Loss: 2.890897750854492, Validation Loss: 2.8951714038848877
Epoch 167, Train Loss: 2.890270233154297, Validation Loss: 2.8945655822753906
Epoch 168, Train Loss: 2.8896424770355225, Validation Loss: 2.8939576148986816
Epoch 169, Train Loss: 2.889014482498169, Validation Loss: 2.893347978591919
Epoch 170, Train Loss: 2.8883848190307617, Validation Loss: 2.89273738861084
Epoch 171, Train Loss: 2.887754201889038, Validation Loss: 2.8921267986297607
Epoch 172, Train Loss: 2.8871219158172607, Validation Loss: 2.8915152549743652
Epoch 173, Train Loss: 2.8864893913269043, Validation Loss: 2.8909013271331787
Epoch 174, Train Loss: 2.8858563899993896, Validation Loss: 2.890287160873413
Epoch 175, Train Loss: 2.885223865509033, Validation Loss: 2.8896727561950684
Epoch 176, Train Loss: 2.8845901489257812, Validation Loss: 2.8890581130981445
Epoch 177, Train Loss: 2.8839550018310547, Validation Loss: 2.8884434700012207
Epoch 178, Train Loss: 2.8833186626434326, Validation Loss: 2.8878276348114014
Epoch 179, Train Loss: 2.882681131362915, Validation Loss: 2.8872108459472656
Epoch 180, Train Loss: 2.8820431232452393, Validation Loss: 2.8865950107574463
Epoch 181, Train Loss: 2.8814046382904053, Validation Loss: 2.885979652404785
Epoch 182, Train Loss: 2.880765914916992, Validation Loss: 2.8853628635406494
Epoch 183, Train Loss: 2.880126476287842, Validation Loss: 2.884746789932251
Epoch 184, Train Loss: 2.879486083984375, Validation Loss: 2.88413143157959
Epoch 185, Train Loss: 2.8788440227508545, Validation Loss: 2.883517265319824
Epoch 186, Train Loss: 2.878201484680176, Validation Loss: 2.8829033374786377
Epoch 187, Train Loss: 2.8775577545166016, Validation Loss: 2.8822901248931885
Epoch 188, Train Loss: 2.876913070678711, Validation Loss: 2.881676197052002
Epoch 189, Train Loss: 2.876267910003662, Validation Loss: 2.8810596466064453
Epoch 190, Train Loss: 2.875621795654297, Validation Loss: 2.8804409503936768
Epoch 191, Train Loss: 2.8749756813049316, Validation Loss: 2.87982177734375
Epoch 192, Train Loss: 2.87432861328125, Validation Loss: 2.879201889038086
Epoch 193, Train Loss: 2.8736815452575684, Validation Loss: 2.8785815238952637
Epoch 194, Train Loss: 2.873033285140991, Validation Loss: 2.8779592514038086
Epoch 195, Train Loss: 2.872384548187256, Validation Loss: 2.8773393630981445
Epoch 196, Train Loss: 2.871734142303467, Validation Loss: 2.8767189979553223
Epoch 197, Train Loss: 2.8710827827453613, Validation Loss: 2.87609601020813
Epoch 198, Train Loss: 2.8704304695129395, Validation Loss: 2.875471591949463
Epoch 199, Train Loss: 2.869776725769043, Validation Loss: 2.874845504760742
Epoch 200, Train Loss: 2.8691227436065674, Validation Loss: 2.874220371246338
Epoch 201, Train Loss: 2.8684682846069336, Validation Loss: 2.873595714569092
Epoch 202, Train Loss: 2.867814302444458, Validation Loss: 2.872971296310425
Epoch 203, Train Loss: 2.8671603202819824, Validation Loss: 2.872347354888916
Epoch 204, Train Loss: 2.8665051460266113, Validation Loss: 2.871725082397461
Epoch 205, Train Loss: 2.865849494934082, Validation Loss: 2.871103048324585
Epoch 206, Train Loss: 2.8651933670043945, Validation Loss: 2.8704798221588135
Epoch 207, Train Loss: 2.8645360469818115, Validation Loss: 2.869854688644409
Epoch 208, Train Loss: 2.863877773284912, Validation Loss: 2.869227647781372
Epoch 209, Train Loss: 2.8632194995880127, Validation Loss: 2.8685996532440186
Epoch 210, Train Loss: 2.862560272216797, Validation Loss: 2.867968797683716
Epoch 211, Train Loss: 2.861900806427002, Validation Loss: 2.8673367500305176
Epoch 212, Train Loss: 2.861240863800049, Validation Loss: 2.866704225540161
Epoch 213, Train Loss: 2.8605799674987793, Validation Loss: 2.866072654724121
Epoch 214, Train Loss: 2.8599181175231934, Validation Loss: 2.8654417991638184
Epoch 215, Train Loss: 2.859255790710449, Validation Loss: 2.8648104667663574
Epoch 216, Train Loss: 2.8585920333862305, Validation Loss: 2.864180088043213
Epoch 217, Train Loss: 2.857927083969116, Validation Loss: 2.8635506629943848
Epoch 218, Train Loss: 2.857261896133423, Validation Loss: 2.8629209995269775
Epoch 219, Train Loss: 2.856595993041992, Validation Loss: 2.862290143966675
Epoch 220, Train Loss: 2.8559300899505615, Validation Loss: 2.86165714263916
Epoch 221, Train Loss: 2.855264186859131, Validation Loss: 2.8610215187072754
Epoch 222, Train Loss: 2.854597330093384, Validation Loss: 2.860386610031128
Epoch 223, Train Loss: 2.853930950164795, Validation Loss: 2.8597514629364014
Epoch 224, Train Loss: 2.8532638549804688, Validation Loss: 2.859117269515991
Epoch 225, Train Loss: 2.8525967597961426, Validation Loss: 2.8584821224212646
Epoch 226, Train Loss: 2.8519287109375, Validation Loss: 2.8578476905822754
Epoch 227, Train Loss: 2.8512606620788574, Validation Loss: 2.8572144508361816
Epoch 228, Train Loss: 2.850592851638794, Validation Loss: 2.8565807342529297
Epoch 229, Train Loss: 2.849923849105835, Validation Loss: 2.8559446334838867
Epoch 230, Train Loss: 2.8492543697357178, Validation Loss: 2.8553073406219482
Epoch 231, Train Loss: 2.8485844135284424, Validation Loss: 2.8546698093414307
Epoch 232, Train Loss: 2.847914934158325, Validation Loss: 2.854031801223755
Epoch 233, Train Loss: 2.8472445011138916, Validation Loss: 2.8533904552459717
Epoch 234, Train Loss: 2.8465731143951416, Validation Loss: 2.8527491092681885
Epoch 235, Train Loss: 2.845900774002075, Validation Loss: 2.8521108627319336
Epoch 236, Train Loss: 2.845227003097534, Validation Loss: 2.851475238800049
Epoch 237, Train Loss: 2.844550848007202, Validation Loss: 2.8508400917053223
Epoch 238, Train Loss: 2.843872308731079, Validation Loss: 2.8502068519592285
Epoch 239, Train Loss: 2.8431925773620605, Validation Loss: 2.849574565887451
Epoch 240, Train Loss: 2.842512845993042, Validation Loss: 2.8489420413970947
Epoch 241, Train Loss: 2.8418328762054443, Validation Loss: 2.8483095169067383
Epoch 242, Train Loss: 2.841153860092163, Validation Loss: 2.8476755619049072
Epoch 243, Train Loss: 2.840474843978882, Validation Loss: 2.8470425605773926
Epoch 244, Train Loss: 2.8397953510284424, Validation Loss: 2.8464109897613525
Epoch 245, Train Loss: 2.839116334915161, Validation Loss: 2.8457794189453125
Epoch 246, Train Loss: 2.8384358882904053, Validation Loss: 2.845146417617798
Epoch 247, Train Loss: 2.8377535343170166, Validation Loss: 2.844510078430176
Epoch 248, Train Loss: 2.837068796157837, Validation Loss: 2.8438737392425537
Epoch 249, Train Loss: 2.836381673812866, Validation Loss: 2.8432366847991943
Epoch 250, Train Loss: 2.8356940746307373, Validation Loss: 2.8425981998443604
