/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_32_neurons_6_layers_4001_epochs_LRscheduler_129042
Epoch 0, Train Loss: 3.0114781856536865, Validation Loss: 3.011058807373047
Epoch 1, Train Loss: 3.0032477378845215, Validation Loss: 3.002929925918579
Epoch 2, Train Loss: 2.995304584503174, Validation Loss: 2.995089530944824
Epoch 3, Train Loss: 2.9876344203948975, Validation Loss: 2.9875245094299316
Epoch 4, Train Loss: 2.980247735977173, Validation Loss: 2.9802441596984863
Epoch 5, Train Loss: 2.973158597946167, Validation Loss: 2.973264217376709
Epoch 6, Train Loss: 2.96638560295105, Validation Loss: 2.966601848602295
Epoch 7, Train Loss: 2.9599456787109375, Validation Loss: 2.9602749347686768
Epoch 8, Train Loss: 2.9538567066192627, Validation Loss: 2.954300880432129
Epoch 9, Train Loss: 2.948131561279297, Validation Loss: 2.9486918449401855
Epoch 10, Train Loss: 2.9427855014801025, Validation Loss: 2.943463087081909
Epoch 11, Train Loss: 2.937833309173584, Validation Loss: 2.938629388809204
Epoch 12, Train Loss: 2.9332873821258545, Validation Loss: 2.9342026710510254
Epoch 13, Train Loss: 2.9291582107543945, Validation Loss: 2.9301934242248535
Epoch 14, Train Loss: 2.925455331802368, Validation Loss: 2.9266104698181152
Epoch 15, Train Loss: 2.922184705734253, Validation Loss: 2.9234602451324463
Epoch 16, Train Loss: 2.9193451404571533, Validation Loss: 2.9207406044006348
Epoch 17, Train Loss: 2.9169304370880127, Validation Loss: 2.918445348739624
Epoch 18, Train Loss: 2.914928913116455, Validation Loss: 2.91656231880188
Epoch 19, Train Loss: 2.9133219718933105, Validation Loss: 2.9150726795196533
Epoch 20, Train Loss: 2.912083625793457, Validation Loss: 2.913949489593506
Epoch 21, Train Loss: 2.9111804962158203, Validation Loss: 2.9131577014923096
Epoch 22, Train Loss: 2.9105708599090576, Validation Loss: 2.912656784057617
Epoch 23, Train Loss: 2.9102087020874023, Validation Loss: 2.912398338317871
Epoch 24, Train Loss: 2.910041093826294, Validation Loss: 2.912330150604248
Epoch 25, Train Loss: 2.9100136756896973, Validation Loss: 2.9123952388763428
Epoch 26, Train Loss: 2.9100723266601562, Validation Loss: 2.9125406742095947
Epoch 27, Train Loss: 2.910166025161743, Validation Loss: 2.912712812423706
Epoch 28, Train Loss: 2.910250425338745, Validation Loss: 2.9128668308258057
Epoch 29, Train Loss: 2.9102895259857178, Validation Loss: 2.9129669666290283
Epoch 30, Train Loss: 2.9102609157562256, Validation Loss: 2.9129884243011475
Epoch 31, Train Loss: 2.9101529121398926, Validation Loss: 2.9129202365875244
Epoch 32, Train Loss: 2.9099652767181396, Validation Loss: 2.9127614498138428
Epoch 33, Train Loss: 2.909705400466919, Validation Loss: 2.912520408630371
Epoch 34, Train Loss: 2.90938663482666, Validation Loss: 2.9122111797332764
Epoch 35, Train Loss: 2.9090256690979004, Validation Loss: 2.911850690841675
Epoch 36, Train Loss: 2.9086391925811768, Validation Loss: 2.9114561080932617
Epoch 37, Train Loss: 2.9082422256469727, Validation Loss: 2.9110445976257324
Epoch 38, Train Loss: 2.907848358154297, Validation Loss: 2.910629987716675
Epoch 39, Train Loss: 2.9074676036834717, Validation Loss: 2.910224437713623
Epoch 40, Train Loss: 2.907107353210449, Validation Loss: 2.90983510017395
Epoch 41, Train Loss: 2.906773090362549, Validation Loss: 2.9094691276550293
Epoch 42, Train Loss: 2.9064671993255615, Validation Loss: 2.9091286659240723
Epoch 43, Train Loss: 2.9061901569366455, Validation Loss: 2.908815860748291
Epoch 44, Train Loss: 2.905939817428589, Validation Loss: 2.908529281616211
Epoch 45, Train Loss: 2.9057140350341797, Validation Loss: 2.9082674980163574
Epoch 46, Train Loss: 2.9055089950561523, Validation Loss: 2.908026933670044
Epoch 47, Train Loss: 2.905320644378662, Validation Loss: 2.9078049659729004
Epoch 48, Train Loss: 2.905144453048706, Validation Loss: 2.907597541809082
Epoch 49, Train Loss: 2.9049758911132812, Validation Loss: 2.907400608062744
Epoch 50, Train Loss: 2.9048116207122803, Validation Loss: 2.9072113037109375
Epoch 51, Train Loss: 2.904648542404175, Validation Loss: 2.9070262908935547
Epoch 52, Train Loss: 2.9044840335845947, Validation Loss: 2.906843662261963
Epoch 53, Train Loss: 2.9043169021606445, Validation Loss: 2.9066622257232666
Epoch 54, Train Loss: 2.9041476249694824, Validation Loss: 2.9064807891845703
Epoch 55, Train Loss: 2.90397572517395, Validation Loss: 2.9063000679016113
Epoch 56, Train Loss: 2.903801918029785, Validation Loss: 2.906120538711548
Epoch 57, Train Loss: 2.9036269187927246, Validation Loss: 2.905942678451538
Epoch 58, Train Loss: 2.903451919555664, Validation Loss: 2.9057672023773193
Epoch 59, Train Loss: 2.903278112411499, Validation Loss: 2.90559458732605
Epoch 60, Train Loss: 2.9031050205230713, Validation Loss: 2.9054248332977295
Epoch 61, Train Loss: 2.902933120727539, Validation Loss: 2.9052577018737793
Epoch 62, Train Loss: 2.9027626514434814, Validation Loss: 2.9050936698913574
Epoch 63, Train Loss: 2.9025936126708984, Validation Loss: 2.9049322605133057
Epoch 64, Train Loss: 2.902425527572632, Validation Loss: 2.904772996902466
Epoch 65, Train Loss: 2.902259111404419, Validation Loss: 2.904616117477417
Epoch 66, Train Loss: 2.9020938873291016, Validation Loss: 2.904460906982422
Epoch 67, Train Loss: 2.9019293785095215, Validation Loss: 2.9043071269989014
Epoch 68, Train Loss: 2.9017655849456787, Validation Loss: 2.9041547775268555
Epoch 69, Train Loss: 2.9016027450561523, Validation Loss: 2.9040029048919678
Epoch 70, Train Loss: 2.901440143585205, Validation Loss: 2.9038515090942383
Epoch 71, Train Loss: 2.901278257369995, Validation Loss: 2.903700590133667
Epoch 72, Train Loss: 2.9011170864105225, Validation Loss: 2.903549909591675
Epoch 73, Train Loss: 2.9009571075439453, Validation Loss: 2.9033994674682617
Epoch 74, Train Loss: 2.9007976055145264, Validation Loss: 2.9032492637634277
Epoch 75, Train Loss: 2.900639772415161, Validation Loss: 2.903099536895752
Epoch 76, Train Loss: 2.9004831314086914, Validation Loss: 2.902949810028076
Epoch 77, Train Loss: 2.9003279209136963, Validation Loss: 2.9028005599975586
Epoch 78, Train Loss: 2.900174140930176, Validation Loss: 2.902651309967041
Epoch 79, Train Loss: 2.9000210762023926, Validation Loss: 2.9025022983551025
Epoch 80, Train Loss: 2.8998687267303467, Validation Loss: 2.902352809906006
Epoch 81, Train Loss: 2.8997175693511963, Validation Loss: 2.902202606201172
Epoch 82, Train Loss: 2.899566173553467, Validation Loss: 2.9020516872406006
Epoch 83, Train Loss: 2.8994154930114746, Validation Loss: 2.90190052986145
Epoch 84, Train Loss: 2.8992650508880615, Validation Loss: 2.9017486572265625
