/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_4_6_50_10_best_model_975950
Epoch 0, Avg Train Loss: 7.8371, Avg Validation Loss: 5.7865
Epoch 1, Avg Train Loss: 4.8529, Avg Validation Loss: 4.1942
Epoch 2, Avg Train Loss: 3.8585, Avg Validation Loss: 3.5848
Epoch 3, Avg Train Loss: 3.4258, Avg Validation Loss: 3.2733
Epoch 4, Avg Train Loss: 3.1893, Avg Validation Loss: 3.1002
Epoch 5, Avg Train Loss: 3.0540, Avg Validation Loss: 2.9930
Epoch 6, Avg Train Loss: 2.9638, Avg Validation Loss: 2.9132
Epoch 7, Avg Train Loss: 2.8933, Avg Validation Loss: 2.8506
Epoch 8, Avg Train Loss: 2.8376, Avg Validation Loss: 2.7993
Epoch 9, Avg Train Loss: 2.7910, Avg Validation Loss: 2.7560
Epoch 10, Avg Train Loss: 2.7502, Avg Validation Loss: 2.7178
Epoch 11, Avg Train Loss: 2.7141, Avg Validation Loss: 2.6837
Epoch 12, Avg Train Loss: 2.6819, Avg Validation Loss: 2.6533
Epoch 13, Avg Train Loss: 2.6522, Avg Validation Loss: 2.6254
Epoch 14, Avg Train Loss: 2.6254, Avg Validation Loss: 2.5991
Epoch 15, Avg Train Loss: 2.6000, Avg Validation Loss: 2.5738
Epoch 16, Avg Train Loss: 2.5740, Avg Validation Loss: 2.5484
Epoch 17, Avg Train Loss: 2.5516, Avg Validation Loss: 2.5260
Epoch 18, Avg Train Loss: 2.5307, Avg Validation Loss: 2.5067
Epoch 19, Avg Train Loss: 2.5125, Avg Validation Loss: 2.4906
Epoch 20, Avg Train Loss: 2.4986, Avg Validation Loss: 2.4756
Epoch 21, Avg Train Loss: 2.4853, Avg Validation Loss: 2.4639
Epoch 22, Avg Train Loss: 2.4748, Avg Validation Loss: 2.4531
Epoch 23, Avg Train Loss: 2.4637, Avg Validation Loss: 2.4438
Epoch 24, Avg Train Loss: 2.4557, Avg Validation Loss: 2.4356
Epoch 25, Avg Train Loss: 2.4488, Avg Validation Loss: 2.4297
Epoch 26, Avg Train Loss: 2.4423, Avg Validation Loss: 2.4245
Epoch 27, Avg Train Loss: 2.4354, Avg Validation Loss: 2.4155
Epoch 28, Avg Train Loss: 2.4291, Avg Validation Loss: 2.4093
Epoch 29, Avg Train Loss: 2.4237, Avg Validation Loss: 2.4038
Epoch 30, Avg Train Loss: 2.4173, Avg Validation Loss: 2.3997
Epoch 31, Avg Train Loss: 2.4125, Avg Validation Loss: 2.3926
Epoch 32, Avg Train Loss: 2.4074, Avg Validation Loss: 2.3880
