/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_4_neurons_1_layers_4001_epochs_StandaradScaler_161251
-1.731133 11.453615
Epoch 0, Train Loss: 2.895137310028076, Validation Loss: 2.9045231342315674
Epoch 1, Train Loss: 2.8939976692199707, Validation Loss: 2.9034063816070557
Epoch 2, Train Loss: 2.8928637504577637, Validation Loss: 2.902296781539917
Epoch 3, Train Loss: 2.891735553741455, Validation Loss: 2.9011926651000977
Epoch 4, Train Loss: 2.890612840652466, Validation Loss: 2.900094747543335
Epoch 5, Train Loss: 2.889495611190796, Validation Loss: 2.89900279045105
Epoch 6, Train Loss: 2.8883838653564453, Validation Loss: 2.8979156017303467
Epoch 7, Train Loss: 2.887277603149414, Validation Loss: 2.8968331813812256
Epoch 8, Train Loss: 2.886178493499756, Validation Loss: 2.8957571983337402
Epoch 9, Train Loss: 2.8850862979888916, Validation Loss: 2.894686222076416
Epoch 10, Train Loss: 2.884000301361084, Validation Loss: 2.8936238288879395
Epoch 11, Train Loss: 2.8829214572906494, Validation Loss: 2.8925652503967285
Epoch 12, Train Loss: 2.8818483352661133, Validation Loss: 2.8915140628814697
Epoch 13, Train Loss: 2.880781650543213, Validation Loss: 2.8904688358306885
Epoch 14, Train Loss: 2.8797202110290527, Validation Loss: 2.8894312381744385
Epoch 15, Train Loss: 2.8786652088165283, Validation Loss: 2.8884005546569824
Epoch 16, Train Loss: 2.8776159286499023, Validation Loss: 2.8873770236968994
Epoch 17, Train Loss: 2.876573085784912, Validation Loss: 2.8863608837127686
Epoch 18, Train Loss: 2.8755359649658203, Validation Loss: 2.88535213470459
Epoch 19, Train Loss: 2.874504566192627, Validation Loss: 2.8843469619750977
Epoch 20, Train Loss: 2.8734793663024902, Validation Loss: 2.8833470344543457
Epoch 21, Train Loss: 2.8724608421325684, Validation Loss: 2.882352590560913
Epoch 22, Train Loss: 2.8714475631713867, Validation Loss: 2.8813652992248535
Epoch 23, Train Loss: 2.8704395294189453, Validation Loss: 2.8803858757019043
Epoch 24, Train Loss: 2.869436740875244, Validation Loss: 2.879413366317749
Epoch 25, Train Loss: 2.8684394359588623, Validation Loss: 2.8784468173980713
Epoch 26, Train Loss: 2.8674473762512207, Validation Loss: 2.8774850368499756
Epoch 27, Train Loss: 2.866460084915161, Validation Loss: 2.8765273094177246
Epoch 28, Train Loss: 2.8654794692993164, Validation Loss: 2.8755736351013184
Epoch 29, Train Loss: 2.864504814147949, Validation Loss: 2.874624252319336
Epoch 30, Train Loss: 2.8635356426239014, Validation Loss: 2.8736789226531982
Epoch 31, Train Loss: 2.8625714778900146, Validation Loss: 2.87273907661438
Epoch 32, Train Loss: 2.8616132736206055, Validation Loss: 2.871803045272827
Epoch 33, Train Loss: 2.860661268234253, Validation Loss: 2.870871067047119
Epoch 34, Train Loss: 2.859715223312378, Validation Loss: 2.8699443340301514
Epoch 35, Train Loss: 2.8587753772735596, Validation Loss: 2.8690221309661865
Epoch 36, Train Loss: 2.8578412532806396, Validation Loss: 2.868105173110962
Epoch 37, Train Loss: 2.856912612915039, Validation Loss: 2.8671936988830566
Epoch 38, Train Loss: 2.8559892177581787, Validation Loss: 2.866288185119629
Epoch 39, Train Loss: 2.855071783065796, Validation Loss: 2.8653876781463623
Epoch 40, Train Loss: 2.8541605472564697, Validation Loss: 2.864492893218994
Epoch 41, Train Loss: 2.8532543182373047, Validation Loss: 2.8636040687561035
Epoch 42, Train Loss: 2.852353811264038, Validation Loss: 2.862718105316162
Epoch 43, Train Loss: 2.8514583110809326, Validation Loss: 2.8618364334106445
Epoch 44, Train Loss: 2.8505680561065674, Validation Loss: 2.8609604835510254
Epoch 45, Train Loss: 2.8496828079223633, Validation Loss: 2.8600897789001465
Epoch 46, Train Loss: 2.848802328109741, Validation Loss: 2.8592255115509033
Epoch 47, Train Loss: 2.8479273319244385, Validation Loss: 2.858368396759033
Epoch 48, Train Loss: 2.847057342529297, Validation Loss: 2.8575167655944824
Epoch 49, Train Loss: 2.8461930751800537, Validation Loss: 2.8566694259643555
Epoch 50, Train Loss: 2.8453330993652344, Validation Loss: 2.855827808380127
Epoch 51, Train Loss: 2.844478130340576, Validation Loss: 2.854990243911743
Epoch 52, Train Loss: 2.843627691268921, Validation Loss: 2.8541550636291504
Epoch 53, Train Loss: 2.8427817821502686, Validation Loss: 2.8533244132995605
Epoch 54, Train Loss: 2.8419406414031982, Validation Loss: 2.8524975776672363
Epoch 55, Train Loss: 2.841104030609131, Validation Loss: 2.851674795150757
Epoch 56, Train Loss: 2.8402719497680664, Validation Loss: 2.850856065750122
Epoch 57, Train Loss: 2.8394434452056885, Validation Loss: 2.8500404357910156
Epoch 58, Train Loss: 2.838618755340576, Validation Loss: 2.8492276668548584
Epoch 59, Train Loss: 2.837798833847046, Validation Loss: 2.848419189453125
Epoch 60, Train Loss: 2.8369832038879395, Validation Loss: 2.8476123809814453
Epoch 61, Train Loss: 2.836170196533203, Validation Loss: 2.8468098640441895
Epoch 62, Train Loss: 2.835360050201416, Validation Loss: 2.84601092338562
Epoch 63, Train Loss: 2.8345539569854736, Validation Loss: 2.845215320587158
Epoch 64, Train Loss: 2.833751678466797, Validation Loss: 2.8444230556488037
Epoch 65, Train Loss: 2.8329544067382812, Validation Loss: 2.843632698059082
Epoch 66, Train Loss: 2.832160711288452, Validation Loss: 2.8428447246551514
Epoch 67, Train Loss: 2.831371545791626, Validation Loss: 2.8420610427856445
Epoch 68, Train Loss: 2.8305859565734863, Validation Loss: 2.8412818908691406
Epoch 69, Train Loss: 2.8298041820526123, Validation Loss: 2.8405086994171143
Epoch 70, Train Loss: 2.829026460647583, Validation Loss: 2.839738607406616
Epoch 71, Train Loss: 2.828252077102661, Validation Loss: 2.8389739990234375
Epoch 72, Train Loss: 2.8274805545806885, Validation Loss: 2.838214635848999
Epoch 73, Train Loss: 2.826712131500244, Validation Loss: 2.8374581336975098
Epoch 74, Train Loss: 2.825948476791382, Validation Loss: 2.836704969406128
Epoch 75, Train Loss: 2.8251891136169434, Validation Loss: 2.8359532356262207
Epoch 76, Train Loss: 2.8244335651397705, Validation Loss: 2.835205316543579
Epoch 77, Train Loss: 2.8236823081970215, Validation Loss: 2.834461212158203
Epoch 78, Train Loss: 2.822934627532959, Validation Loss: 2.833718776702881
Epoch 79, Train Loss: 2.822190523147583, Validation Loss: 2.832981586456299
Epoch 80, Train Loss: 2.8214499950408936, Validation Loss: 2.8322484493255615
Epoch 81, Train Loss: 2.820713758468628, Validation Loss: 2.8315188884735107
Epoch 82, Train Loss: 2.819981813430786, Validation Loss: 2.830793857574463
Epoch 83, Train Loss: 2.8192532062530518, Validation Loss: 2.830073118209839
Epoch 84, Train Loss: 2.8185276985168457, Validation Loss: 2.8293545246124268
Epoch 85, Train Loss: 2.8178067207336426, Validation Loss: 2.8286406993865967
Epoch 86, Train Loss: 2.817089557647705, Validation Loss: 2.827930450439453
Epoch 87, Train Loss: 2.816375494003296, Validation Loss: 2.8272223472595215
Epoch 88, Train Loss: 2.8156652450561523, Validation Loss: 2.826519250869751
Epoch 89, Train Loss: 2.8149592876434326, Validation Loss: 2.8258209228515625
Epoch 90, Train Loss: 2.814256191253662, Validation Loss: 2.825127601623535
Epoch 91, Train Loss: 2.8135552406311035, Validation Loss: 2.824436664581299
Epoch 92, Train Loss: 2.8128578662872314, Validation Loss: 2.823749303817749
Epoch 93, Train Loss: 2.8121635913848877, Validation Loss: 2.8230643272399902
Epoch 94, Train Loss: 2.8114733695983887, Validation Loss: 2.822382926940918
Epoch 95, Train Loss: 2.810786008834839, Validation Loss: 2.821704387664795
Epoch 96, Train Loss: 2.8101019859313965, Validation Loss: 2.821028709411621
Epoch 97, Train Loss: 2.8094229698181152, Validation Loss: 2.8203542232513428
Epoch 98, Train Loss: 2.8087472915649414, Validation Loss: 2.8196842670440674
Epoch 99, Train Loss: 2.808075428009033, Validation Loss: 2.819019079208374
Epoch 100, Train Loss: 2.8074071407318115, Validation Loss: 2.8183586597442627
Epoch 101, Train Loss: 2.8067421913146973, Validation Loss: 2.817702054977417
Epoch 102, Train Loss: 2.8060812950134277, Validation Loss: 2.817049264907837
Epoch 103, Train Loss: 2.8054234981536865, Validation Loss: 2.8163998126983643
Epoch 104, Train Loss: 2.8047702312469482, Validation Loss: 2.8157553672790527
Epoch 105, Train Loss: 2.804119825363159, Validation Loss: 2.815112829208374
Epoch 106, Train Loss: 2.8034727573394775, Validation Loss: 2.8144729137420654
Epoch 107, Train Loss: 2.802828073501587, Validation Loss: 2.813835620880127
Epoch 108, Train Loss: 2.8021860122680664, Validation Loss: 2.8132030963897705
Epoch 109, Train Loss: 2.8015477657318115, Validation Loss: 2.8125741481781006
Epoch 110, Train Loss: 2.8009116649627686, Validation Loss: 2.8119494915008545
Epoch 111, Train Loss: 2.8002781867980957, Validation Loss: 2.8113291263580322
Epoch 112, Train Loss: 2.7996468544006348, Validation Loss: 2.810711622238159
Epoch 113, Train Loss: 2.799018383026123, Validation Loss: 2.81009578704834
Epoch 114, Train Loss: 2.7983922958374023, Validation Loss: 2.8094823360443115
Epoch 115, Train Loss: 2.7977688312530518, Validation Loss: 2.8088724613189697
Epoch 116, Train Loss: 2.797147750854492, Validation Loss: 2.8082659244537354
Epoch 117, Train Loss: 2.796529769897461, Validation Loss: 2.8076610565185547
Epoch 118, Train Loss: 2.795915126800537, Validation Loss: 2.807058572769165
Epoch 119, Train Loss: 2.7953038215637207, Validation Loss: 2.80646014213562
Epoch 120, Train Loss: 2.7946956157684326, Validation Loss: 2.805866003036499
Epoch 121, Train Loss: 2.794090509414673, Validation Loss: 2.8052752017974854
Epoch 122, Train Loss: 2.7934889793395996, Validation Loss: 2.8046858310699463
Epoch 123, Train Loss: 2.792891025543213, Validation Loss: 2.804094076156616
Epoch 124, Train Loss: 2.7922961711883545, Validation Loss: 2.8035051822662354
Epoch 125, Train Loss: 2.7917048931121826, Validation Loss: 2.802917718887329
Epoch 126, Train Loss: 2.7911179065704346, Validation Loss: 2.8023340702056885
Epoch 127, Train Loss: 2.7905330657958984, Validation Loss: 2.801753044128418
Epoch 128, Train Loss: 2.789949893951416, Validation Loss: 2.8011746406555176
