/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_5e-6_lr_4_layers_5_transformations_50_neurons_10_bins_512_batch_size_430833
Epoch 0, Avg Train Loss: 7.7491, Avg Validation Loss: 6.0391
Epoch 1, Avg Train Loss: 5.1059, Avg Validation Loss: 4.4870
Epoch 2, Avg Train Loss: 4.0794, Avg Validation Loss: 3.8204
Epoch 3, Avg Train Loss: 3.5969, Avg Validation Loss: 3.4622
Epoch 4, Avg Train Loss: 3.3297, Avg Validation Loss: 3.2664
Epoch 5, Avg Train Loss: 3.1854, Avg Validation Loss: 3.1579
Epoch 6, Avg Train Loss: 3.1036, Avg Validation Loss: 3.0914
Epoch 7, Avg Train Loss: 3.0471, Avg Validation Loss: 3.0393
Epoch 8, Avg Train Loss: 3.0000, Avg Validation Loss: 2.9943
Epoch 9, Avg Train Loss: 2.9581, Avg Validation Loss: 2.9527
Epoch 10, Avg Train Loss: 2.9185, Avg Validation Loss: 2.9141
Epoch 11, Avg Train Loss: 2.8813, Avg Validation Loss: 2.8779
Epoch 12, Avg Train Loss: 2.8473, Avg Validation Loss: 2.8445
Epoch 13, Avg Train Loss: 2.8165, Avg Validation Loss: 2.8137
Epoch 14, Avg Train Loss: 2.7874, Avg Validation Loss: 2.7849
Epoch 15, Avg Train Loss: 2.7605, Avg Validation Loss: 2.7582
Epoch 16, Avg Train Loss: 2.7354, Avg Validation Loss: 2.7322
Epoch 17, Avg Train Loss: 2.7104, Avg Validation Loss: 2.7079
Epoch 18, Avg Train Loss: 2.6873, Avg Validation Loss: 2.6848
Epoch 19, Avg Train Loss: 2.6658, Avg Validation Loss: 2.6626
Epoch 20, Avg Train Loss: 2.6444, Avg Validation Loss: 2.6409
Epoch 21, Avg Train Loss: 2.6242, Avg Validation Loss: 2.6206
Epoch 22, Avg Train Loss: 2.6052, Avg Validation Loss: 2.6005
Epoch 23, Avg Train Loss: 2.5866, Avg Validation Loss: 2.5806
Epoch 24, Avg Train Loss: 2.5673, Avg Validation Loss: 2.5610
Epoch 25, Avg Train Loss: 2.5500, Avg Validation Loss: 2.5445
Epoch 26, Avg Train Loss: 2.5345, Avg Validation Loss: 2.5294
Epoch 27, Avg Train Loss: 2.5219, Avg Validation Loss: 2.5163
Epoch 28, Avg Train Loss: 2.5086, Avg Validation Loss: 2.5044
Epoch 29, Avg Train Loss: 2.4983, Avg Validation Loss: 2.4945
Epoch 30, Avg Train Loss: 2.4885, Avg Validation Loss: 2.4844
Epoch 31, Avg Train Loss: 2.4798, Avg Validation Loss: 2.4756
Epoch 32, Avg Train Loss: 2.4708, Avg Validation Loss: 2.4669
Epoch 33, Avg Train Loss: 2.4634, Avg Validation Loss: 2.4591
Epoch 34, Avg Train Loss: 2.4568, Avg Validation Loss: 2.4516
Epoch 35, Avg Train Loss: 2.4488, Avg Validation Loss: 2.4452
Epoch 36, Avg Train Loss: 2.4429, Avg Validation Loss: 2.4390
Epoch 37, Avg Train Loss: 2.4372, Avg Validation Loss: 2.4330
Epoch 38, Avg Train Loss: 2.4318, Avg Validation Loss: 2.4280
Epoch 39, Avg Train Loss: 2.4274, Avg Validation Loss: 2.4228
Epoch 40, Avg Train Loss: 2.4223, Avg Validation Loss: 2.4180
Epoch 41, Avg Train Loss: 2.4189, Avg Validation Loss: 2.4140
Epoch 42, Avg Train Loss: 2.4151, Avg Validation Loss: 2.4102
Epoch 43, Avg Train Loss: 2.4117, Avg Validation Loss: 2.4074
Epoch 44, Avg Train Loss: 2.4075, Avg Validation Loss: 2.4033
Epoch 45, Avg Train Loss: 2.4042, Avg Validation Loss: 2.3997
Epoch 46, Avg Train Loss: 2.4005, Avg Validation Loss: 2.3955
Epoch 47, Avg Train Loss: 2.3976, Avg Validation Loss: 2.3929
Epoch 48, Avg Train Loss: 2.3951, Avg Validation Loss: 2.3884
Epoch 49, Avg Train Loss: 2.3923, Avg Validation Loss: 2.3859
Epoch 50, Avg Train Loss: 2.3881, Avg Validation Loss: 2.3827
Epoch 51, Avg Train Loss: 2.3857, Avg Validation Loss: 2.3800
Epoch 52, Avg Train Loss: 2.3827, Avg Validation Loss: 2.3772
Epoch 53, Avg Train Loss: 2.3803, Avg Validation Loss: 2.3736
Epoch 54, Avg Train Loss: 2.3766, Avg Validation Loss: 2.3709
Epoch 55, Avg Train Loss: 2.3737, Avg Validation Loss: 2.3679
Epoch 56, Avg Train Loss: 2.3693, Avg Validation Loss: 2.3645
Epoch 57, Avg Train Loss: 2.3675, Avg Validation Loss: 2.3622
Epoch 58, Avg Train Loss: 2.3634, Avg Validation Loss: 2.3592
Epoch 59, Avg Train Loss: 2.3614, Avg Validation Loss: 2.3560
Epoch 60, Avg Train Loss: 2.3572, Avg Validation Loss: 2.3517
Epoch 61, Avg Train Loss: 2.3543, Avg Validation Loss: 2.3512
Epoch 62, Avg Train Loss: 2.3505, Avg Validation Loss: 2.3457
Epoch 63, Avg Train Loss: 2.3478, Avg Validation Loss: 2.3417
Epoch 64, Avg Train Loss: 2.3451, Avg Validation Loss: 2.3397
Epoch 65, Avg Train Loss: 2.3416, Avg Validation Loss: 2.3355
Epoch 66, Avg Train Loss: 2.3395, Avg Validation Loss: 2.3331
Epoch 67, Avg Train Loss: 2.3346, Avg Validation Loss: 2.3322
Epoch 68, Avg Train Loss: 2.3333, Avg Validation Loss: 2.3286
Epoch 69, Avg Train Loss: 2.3312, Avg Validation Loss: 2.3255
Epoch 70, Avg Train Loss: 2.3299, Avg Validation Loss: 2.3250
Epoch 71, Avg Train Loss: 2.3276, Avg Validation Loss: 2.3205
Epoch 72, Avg Train Loss: 2.3247, Avg Validation Loss: 2.3236
Epoch 73, Avg Train Loss: 2.3228, Avg Validation Loss: 2.3176
Epoch 74, Avg Train Loss: 2.3217, Avg Validation Loss: 2.3160
Epoch 75, Avg Train Loss: 2.3206, Avg Validation Loss: 2.3157
Epoch 76, Avg Train Loss: 2.3189, Avg Validation Loss: 2.3132
Epoch 77, Avg Train Loss: 2.3170, Avg Validation Loss: 2.3121
Epoch 78, Avg Train Loss: 2.3155, Avg Validation Loss: 2.3105
Epoch 79, Avg Train Loss: 2.3147, Avg Validation Loss: 2.3117
Epoch 80, Avg Train Loss: 2.3119, Avg Validation Loss: 2.3094
Epoch 81, Avg Train Loss: 2.3105, Avg Validation Loss: 2.3068
Epoch 82, Avg Train Loss: 2.3102, Avg Validation Loss: 2.3096
Epoch 83, Avg Train Loss: 2.3088, Avg Validation Loss: 2.3086
Epoch 84, Avg Train Loss: 2.3094, Avg Validation Loss: 2.3085
Epoch 85, Avg Train Loss: 2.3057, Avg Validation Loss: 2.3029
Epoch 86, Avg Train Loss: 2.3065, Avg Validation Loss: 2.3031
Epoch 87, Avg Train Loss: 2.3058, Avg Validation Loss: 2.3030
Epoch 88, Avg Train Loss: 2.3040, Avg Validation Loss: 2.3009
Epoch 89, Avg Train Loss: 2.3030, Avg Validation Loss: 2.3015
Epoch 90, Avg Train Loss: 2.3024, Avg Validation Loss: 2.3110
Epoch 91, Avg Train Loss: 2.3031, Avg Validation Loss: 2.2973
Epoch 92, Avg Train Loss: 2.3003, Avg Validation Loss: 2.3001
Epoch 93, Avg Train Loss: 2.2983, Avg Validation Loss: 2.2981
Epoch 94, Avg Train Loss: 2.2973, Avg Validation Loss: 2.3014
Epoch 95, Avg Train Loss: 2.2979, Avg Validation Loss: 2.2965
Epoch 96, Avg Train Loss: 2.2967, Avg Validation Loss: 2.2942
Epoch 97, Avg Train Loss: 2.2961, Avg Validation Loss: 2.2956
Epoch 98, Avg Train Loss: 2.2967, Avg Validation Loss: 2.2922
Epoch 99, Avg Train Loss: 2.2956, Avg Validation Loss: 2.2925
Epoch 100, Avg Train Loss: 2.2959, Avg Validation Loss: 2.2936
Epoch 101, Avg Train Loss: 2.2945, Avg Validation Loss: 2.2979
Epoch 102, Avg Train Loss: 2.2933, Avg Validation Loss: 2.2991
Epoch 103, Avg Train Loss: 2.2928, Avg Validation Loss: 2.2962
Epoch 104, Avg Train Loss: 2.2933, Avg Validation Loss: 2.2938
Epoch 105, Avg Train Loss: 2.2923, Avg Validation Loss: 2.2891
Epoch 106, Avg Train Loss: 2.2906, Avg Validation Loss: 2.2941
Epoch 107, Avg Train Loss: 2.2903, Avg Validation Loss: 2.2906
Epoch 108, Avg Train Loss: 2.2907, Avg Validation Loss: 2.2951
Epoch 109, Avg Train Loss: 2.2908, Avg Validation Loss: 2.2905
Epoch 110, Avg Train Loss: 2.2905, Avg Validation Loss: 2.2866
Epoch 111, Avg Train Loss: 2.2907, Avg Validation Loss: 2.2907
Epoch 112, Avg Train Loss: 2.2874, Avg Validation Loss: 2.2856
Epoch 113, Avg Train Loss: 2.2876, Avg Validation Loss: 2.2878
Epoch 114, Avg Train Loss: 2.2875, Avg Validation Loss: 2.2898
Epoch 115, Avg Train Loss: 2.2888, Avg Validation Loss: 2.2890
Epoch 116, Avg Train Loss: 2.2889, Avg Validation Loss: 2.2912
Epoch 117, Avg Train Loss: 2.2862, Avg Validation Loss: 2.2916
Epoch 118, Avg Train Loss: 2.2875, Avg Validation Loss: 2.2861
Epoch 119, Avg Train Loss: 2.2859, Avg Validation Loss: 2.2892
Epoch 120, Avg Train Loss: 2.2872, Avg Validation Loss: 2.2903
Epoch 121, Avg Train Loss: 2.2854, Avg Validation Loss: 2.2845
Epoch 122, Avg Train Loss: 2.2846, Avg Validation Loss: 2.2828
Epoch 123, Avg Train Loss: 2.2847, Avg Validation Loss: 2.2828
Epoch 124, Avg Train Loss: 2.2843, Avg Validation Loss: 2.2872
Epoch 125, Avg Train Loss: 2.2848, Avg Validation Loss: 2.2889
Epoch 126, Avg Train Loss: 2.2851, Avg Validation Loss: 2.2902
Epoch 127, Avg Train Loss: 2.2843, Avg Validation Loss: 2.2827
Epoch 128, Avg Train Loss: 2.2842, Avg Validation Loss: 2.2907
Epoch 129, Avg Train Loss: 2.2850, Avg Validation Loss: 2.2938
Epoch 130, Avg Train Loss: 2.2842, Avg Validation Loss: 2.2842
Epoch 131, Avg Train Loss: 2.2837, Avg Validation Loss: 2.2827
Epoch 132, Avg Train Loss: 2.2824, Avg Validation Loss: 2.2871
Epoch 133, Avg Train Loss: 2.2830, Avg Validation Loss: 2.2930
Epoch 134, Avg Train Loss: 2.2831, Avg Validation Loss: 2.2880
Epoch 135, Avg Train Loss: 2.2802, Avg Validation Loss: 2.2876
Epoch 136, Avg Train Loss: 2.2818, Avg Validation Loss: 2.2840
Epoch 137, Avg Train Loss: 2.2836, Avg Validation Loss: 2.2980
Epoch 138, Avg Train Loss: 2.2849, Avg Validation Loss: 2.2833
Epoch 139, Avg Train Loss: 2.2787, Avg Validation Loss: 2.2811
Epoch 140, Avg Train Loss: 2.2814, Avg Validation Loss: 2.2861
Epoch 141, Avg Train Loss: 2.2810, Avg Validation Loss: 2.2804
Epoch 142, Avg Train Loss: 2.2800, Avg Validation Loss: 2.2816
Epoch 143, Avg Train Loss: 2.2789, Avg Validation Loss: 2.2853
Epoch 144, Avg Train Loss: 2.2804, Avg Validation Loss: 2.2841
Epoch 145, Avg Train Loss: 2.2802, Avg Validation Loss: 2.2825
Epoch 146, Avg Train Loss: 2.2804, Avg Validation Loss: 2.2848
Epoch 147, Avg Train Loss: 2.2817, Avg Validation Loss: 2.2873
Epoch 148, Avg Train Loss: 2.2804, Avg Validation Loss: 2.2972
Epoch 149, Avg Train Loss: 2.2816, Avg Validation Loss: 2.3013
Epoch 150, Avg Train Loss: 2.2797, Avg Validation Loss: 2.2796
Epoch 151, Avg Train Loss: 2.2796, Avg Validation Loss: 2.2810
Epoch 152, Avg Train Loss: 2.2815, Avg Validation Loss: 2.2876
Epoch 153, Avg Train Loss: 2.2805, Avg Validation Loss: 2.2789
Epoch 154, Avg Train Loss: 2.2795, Avg Validation Loss: 2.2841
Epoch 155, Avg Train Loss: 2.2840, Avg Validation Loss: 2.2883
Epoch 156, Avg Train Loss: 2.2828, Avg Validation Loss: 2.2816
Epoch 157, Avg Train Loss: 2.2788, Avg Validation Loss: 2.2805
Epoch 158, Avg Train Loss: 2.2789, Avg Validation Loss: 2.2858
Epoch 159, Avg Train Loss: 2.2776, Avg Validation Loss: 2.2860
Epoch 160, Avg Train Loss: 2.2798, Avg Validation Loss: 2.2796
Epoch 161, Avg Train Loss: 2.2792, Avg Validation Loss: 2.2773
Epoch 162, Avg Train Loss: 2.2784, Avg Validation Loss: 2.3071
Epoch 163, Avg Train Loss: 2.2845, Avg Validation Loss: 2.2808
Epoch 164, Avg Train Loss: 2.2765, Avg Validation Loss: 2.2810
Epoch 165, Avg Train Loss: 2.2787, Avg Validation Loss: 2.2797
Epoch 166, Avg Train Loss: 2.2796, Avg Validation Loss: 2.2762
Epoch 167, Avg Train Loss: 2.2774, Avg Validation Loss: 2.2897
Epoch 168, Avg Train Loss: 2.2786, Avg Validation Loss: 2.2794
Epoch 169, Avg Train Loss: 2.2787, Avg Validation Loss: 2.2766
Epoch 170, Avg Train Loss: 2.2777, Avg Validation Loss: 2.2925
Epoch 171, Avg Train Loss: 2.2788, Avg Validation Loss: 2.2784
Epoch 172, Avg Train Loss: 2.2770, Avg Validation Loss: 2.2836
Epoch 173, Avg Train Loss: 2.2786, Avg Validation Loss: 2.2790
Epoch 174, Avg Train Loss: 2.2836, Avg Validation Loss: 2.2798
Epoch 175, Avg Train Loss: 2.2783, Avg Validation Loss: 2.2922
Early stopping triggered
