/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_5e-6_lr_5_layers_5_transformations_100_neurons_15_bins_512_batch_size_CosineLRsheduler_355526
Epoch 0, Avg Train Loss: 12.0865, Avg Validation Loss: 5.4460
Epoch 1, Avg Train Loss: 4.1230, Avg Validation Loss: 3.7114
Epoch 2, Avg Train Loss: 3.5526, Avg Validation Loss: 3.3729
Epoch 3, Avg Train Loss: 3.2694, Avg Validation Loss: 3.1544
Epoch 4, Avg Train Loss: 3.0937, Avg Validation Loss: 3.0095
Epoch 5, Avg Train Loss: 2.9677, Avg Validation Loss: 2.9034
Epoch 6, Avg Train Loss: 2.8748, Avg Validation Loss: 2.8223
Epoch 7, Avg Train Loss: 2.8043, Avg Validation Loss: 2.7641
Epoch 8, Avg Train Loss: 2.7563, Avg Validation Loss: 2.7210
Epoch 9, Avg Train Loss: 2.7158, Avg Validation Loss: 2.6861
Epoch 10, Avg Train Loss: 2.6790, Avg Validation Loss: 2.6512
Epoch 11, Avg Train Loss: 2.6431, Avg Validation Loss: 2.6182
Epoch 12, Avg Train Loss: 2.6114, Avg Validation Loss: 2.5864
Epoch 13, Avg Train Loss: 2.5871, Avg Validation Loss: 2.5667
Epoch 14, Avg Train Loss: 2.5708, Avg Validation Loss: 2.5525
Epoch 15, Avg Train Loss: 2.5498, Avg Validation Loss: 2.5309
Epoch 16, Avg Train Loss: 2.5321, Avg Validation Loss: 2.5122
Epoch 17, Avg Train Loss: 2.5129, Avg Validation Loss: 2.4944
Epoch 18, Avg Train Loss: 2.4943, Avg Validation Loss: 2.4810
Epoch 19, Avg Train Loss: 2.4779, Avg Validation Loss: 2.4610
Epoch 20, Avg Train Loss: 2.4643, Avg Validation Loss: 2.4505
Epoch 21, Avg Train Loss: 2.4524, Avg Validation Loss: 2.4397
Epoch 22, Avg Train Loss: 2.4426, Avg Validation Loss: 2.4303
Epoch 23, Avg Train Loss: 2.4351, Avg Validation Loss: 2.4218
Epoch 24, Avg Train Loss: 2.4306, Avg Validation Loss: 2.4145
Epoch 25, Avg Train Loss: 2.4209, Avg Validation Loss: 2.4057
Epoch 26, Avg Train Loss: 2.4140, Avg Validation Loss: 2.4030
Epoch 27, Avg Train Loss: 2.4067, Avg Validation Loss: 2.3933
Epoch 28, Avg Train Loss: 2.4007, Avg Validation Loss: 2.3875
Epoch 29, Avg Train Loss: 2.3941, Avg Validation Loss: 2.3793
Epoch 30, Avg Train Loss: 2.3875, Avg Validation Loss: 2.3747
Epoch 31, Avg Train Loss: 2.3820, Avg Validation Loss: 2.3717
Epoch 32, Avg Train Loss: 2.3779, Avg Validation Loss: 2.3662
Epoch 33, Avg Train Loss: 2.3749, Avg Validation Loss: 2.3639
