/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_64_neurons_10_layers_scaled_99515
Epoch 0, Train Loss: 3.226268768310547, Validation Loss: 3.2299420833587646
Epoch 1, Train Loss: 3.1971607208251953, Validation Loss: 3.2009525299072266
Epoch 2, Train Loss: 3.1694438457489014, Validation Loss: 3.1733503341674805
Epoch 3, Train Loss: 3.143073081970215, Validation Loss: 3.1470937728881836
Epoch 4, Train Loss: 3.118227958679199, Validation Loss: 3.122361421585083
Epoch 5, Train Loss: 3.095123529434204, Validation Loss: 3.0993690490722656
Epoch 6, Train Loss: 3.073990821838379, Validation Loss: 3.07834792137146
Epoch 7, Train Loss: 3.055058479309082, Validation Loss: 3.059525489807129
Epoch 8, Train Loss: 3.0385422706604004, Validation Loss: 3.043117046356201
Epoch 9, Train Loss: 3.02461838722229, Validation Loss: 3.029299736022949
Epoch 10, Train Loss: 3.0133790969848633, Validation Loss: 3.0181643962860107
Epoch 11, Train Loss: 3.004783868789673, Validation Loss: 3.009672164916992
Epoch 12, Train Loss: 2.9986209869384766, Validation Loss: 3.0036089420318604
Epoch 13, Train Loss: 2.994494915008545, Validation Loss: 2.9995768070220947
Epoch 14, Train Loss: 2.991870641708374, Validation Loss: 2.997039318084717
Epoch 15, Train Loss: 2.9901795387268066, Validation Loss: 2.99542236328125
Epoch 16, Train Loss: 2.98893404006958, Validation Loss: 2.9942314624786377
Epoch 17, Train Loss: 2.9877891540527344, Validation Loss: 2.9931154251098633
Epoch 18, Train Loss: 2.986578941345215, Validation Loss: 2.991903066635132
Epoch 19, Train Loss: 2.985283136367798, Validation Loss: 2.990574359893799
Epoch 20, Train Loss: 2.9839773178100586, Validation Loss: 2.9892072677612305
Epoch 21, Train Loss: 2.9827663898468018, Validation Loss: 2.9879114627838135
Epoch 22, Train Loss: 2.9817512035369873, Validation Loss: 2.9867947101593018
Epoch 23, Train Loss: 2.9809887409210205, Validation Loss: 2.985924005508423
Epoch 24, Train Loss: 2.9804792404174805, Validation Loss: 2.9853105545043945
Epoch 25, Train Loss: 2.9801762104034424, Validation Loss: 2.984912395477295
Epoch 26, Train Loss: 2.9799962043762207, Validation Loss: 2.984652280807495
Epoch 27, Train Loss: 2.9798426628112793, Validation Loss: 2.984438180923462
Epoch 28, Train Loss: 2.979628562927246, Validation Loss: 2.9841864109039307
Epoch 29, Train Loss: 2.979290723800659, Validation Loss: 2.983832836151123
Epoch 30, Train Loss: 2.9787964820861816, Validation Loss: 2.9833462238311768
Epoch 31, Train Loss: 2.9781453609466553, Validation Loss: 2.9827237129211426
Epoch 32, Train Loss: 2.9773597717285156, Validation Loss: 2.9819862842559814
Epoch 33, Train Loss: 2.9764811992645264, Validation Loss: 2.981172561645508
Epoch 34, Train Loss: 2.9755585193634033, Validation Loss: 2.980329751968384
Epoch 35, Train Loss: 2.9746429920196533, Validation Loss: 2.9795045852661133
Epoch 36, Train Loss: 2.973780870437622, Validation Loss: 2.978740692138672
Epoch 37, Train Loss: 2.973008632659912, Validation Loss: 2.978071689605713
Epoch 38, Train Loss: 2.9723522663116455, Validation Loss: 2.9775187969207764
Epoch 39, Train Loss: 2.9718239307403564, Validation Loss: 2.977091073989868
Epoch 40, Train Loss: 2.971421003341675, Validation Loss: 2.9767844676971436
Epoch 41, Train Loss: 2.9711313247680664, Validation Loss: 2.9765841960906982
Epoch 42, Train Loss: 2.970931053161621, Validation Loss: 2.976464033126831
Epoch 43, Train Loss: 2.9707908630371094, Validation Loss: 2.9763925075531006
Epoch 44, Train Loss: 2.9706780910491943, Validation Loss: 2.9763362407684326
Epoch 45, Train Loss: 2.9705631732940674, Validation Loss: 2.9762632846832275
Epoch 46, Train Loss: 2.970421075820923, Validation Loss: 2.976148843765259
Epoch 47, Train Loss: 2.9702351093292236, Validation Loss: 2.9759764671325684
Epoch 48, Train Loss: 2.9699976444244385, Validation Loss: 2.975740671157837
Epoch 49, Train Loss: 2.9697108268737793, Validation Loss: 2.975442886352539
Epoch 50, Train Loss: 2.9693830013275146, Validation Loss: 2.97509503364563
Epoch 51, Train Loss: 2.9690282344818115, Validation Loss: 2.9747118949890137
Epoch 52, Train Loss: 2.968661069869995, Validation Loss: 2.974311113357544
Epoch 53, Train Loss: 2.9682974815368652, Validation Loss: 2.9739108085632324
Epoch 54, Train Loss: 2.9679477214813232, Validation Loss: 2.9735231399536133
Epoch 55, Train Loss: 2.967618465423584, Validation Loss: 2.9731569290161133
Epoch 56, Train Loss: 2.967312812805176, Validation Loss: 2.9728171825408936
Epoch 57, Train Loss: 2.9670300483703613, Validation Loss: 2.9725046157836914
Epoch 58, Train Loss: 2.966766357421875, Validation Loss: 2.972216844558716
Epoch 59, Train Loss: 2.966517686843872, Validation Loss: 2.971949338912964
Epoch 60, Train Loss: 2.9662766456604004, Validation Loss: 2.9716973304748535
Epoch 61, Train Loss: 2.9660391807556152, Validation Loss: 2.971456527709961
Epoch 62, Train Loss: 2.965801239013672, Validation Loss: 2.971222400665283
Epoch 63, Train Loss: 2.9655604362487793, Validation Loss: 2.9709932804107666
Epoch 64, Train Loss: 2.9653172492980957, Validation Loss: 2.9707679748535156
Epoch 65, Train Loss: 2.9650721549987793, Validation Loss: 2.9705467224121094
Epoch 66, Train Loss: 2.9648265838623047, Validation Loss: 2.970329999923706
Epoch 67, Train Loss: 2.964582920074463, Validation Loss: 2.9701180458068848
Epoch 68, Train Loss: 2.964341878890991, Validation Loss: 2.9699108600616455
Epoch 69, Train Loss: 2.964104413986206, Validation Loss: 2.9697070121765137
Epoch 70, Train Loss: 2.96386981010437, Validation Loss: 2.969506025314331
Epoch 71, Train Loss: 2.9636378288269043, Validation Loss: 2.9693048000335693
Epoch 72, Train Loss: 2.9634060859680176, Validation Loss: 2.969101667404175
Epoch 73, Train Loss: 2.9631738662719727, Validation Loss: 2.968893527984619
Epoch 74, Train Loss: 2.962939500808716, Validation Loss: 2.9686784744262695
Epoch 75, Train Loss: 2.962703227996826, Validation Loss: 2.9684576988220215
Epoch 76, Train Loss: 2.962465286254883, Validation Loss: 2.9682297706604004
Epoch 77, Train Loss: 2.962226152420044, Validation Loss: 2.9679982662200928
Epoch 78, Train Loss: 2.9619882106781006, Validation Loss: 2.9677634239196777
Epoch 79, Train Loss: 2.961751937866211, Validation Loss: 2.9675278663635254
Epoch 80, Train Loss: 2.9615187644958496, Validation Loss: 2.9672932624816895
Epoch 81, Train Loss: 2.9612886905670166, Validation Loss: 2.9670608043670654
Epoch 82, Train Loss: 2.9610626697540283, Validation Loss: 2.9668314456939697
Epoch 83, Train Loss: 2.960839033126831, Validation Loss: 2.9666051864624023
Epoch 84, Train Loss: 2.9606175422668457, Validation Loss: 2.966381311416626
Epoch 85, Train Loss: 2.9603967666625977, Validation Loss: 2.966160297393799
Epoch 86, Train Loss: 2.960176467895508, Validation Loss: 2.9659409523010254
Epoch 87, Train Loss: 2.959955930709839, Validation Loss: 2.9657230377197266
Epoch 88, Train Loss: 2.9597344398498535, Validation Loss: 2.965506076812744
Epoch 89, Train Loss: 2.9595119953155518, Validation Loss: 2.96528959274292
Epoch 90, Train Loss: 2.959289073944092, Validation Loss: 2.965074300765991
Epoch 91, Train Loss: 2.9590659141540527, Validation Loss: 2.964860200881958
Epoch 92, Train Loss: 2.958843231201172, Validation Loss: 2.9646472930908203
Epoch 93, Train Loss: 2.958621025085449, Validation Loss: 2.96443510055542
Epoch 94, Train Loss: 2.958400011062622, Validation Loss: 2.964224338531494
Epoch 95, Train Loss: 2.9581797122955322, Validation Loss: 2.9640142917633057
Epoch 96, Train Loss: 2.957960605621338, Validation Loss: 2.9638047218322754
Epoch 97, Train Loss: 2.957742214202881, Validation Loss: 2.963594913482666
Epoch 98, Train Loss: 2.9575250148773193, Validation Loss: 2.9633843898773193
