/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_8_4_50_15_81292
Epoch 0, Avg Train Loss: 5.2349, Avg Validation Loss: 4.1500
Epoch 1, Avg Train Loss: 3.8195, Avg Validation Loss: 3.6087
Epoch 2, Avg Train Loss: 3.5038, Avg Validation Loss: 3.3903
Epoch 3, Avg Train Loss: 3.3207, Avg Validation Loss: 3.2244
Epoch 4, Avg Train Loss: 3.1868, Avg Validation Loss: 3.1109
Epoch 5, Avg Train Loss: 3.0875, Avg Validation Loss: 3.0125
Epoch 6, Avg Train Loss: 3.0033, Avg Validation Loss: 2.9409
Epoch 7, Avg Train Loss: 2.9369, Avg Validation Loss: 2.8755
Epoch 8, Avg Train Loss: 2.8738, Avg Validation Loss: 2.8202
Epoch 9, Avg Train Loss: 2.8142, Avg Validation Loss: 2.7636
Epoch 10, Avg Train Loss: 2.7618, Avg Validation Loss: 2.7153
Epoch 11, Avg Train Loss: 2.7183, Avg Validation Loss: 2.6764
Epoch 12, Avg Train Loss: 2.6790, Avg Validation Loss: 2.6444
Epoch 13, Avg Train Loss: 2.6436, Avg Validation Loss: 2.6129
Epoch 14, Avg Train Loss: 2.6143, Avg Validation Loss: 2.5870
Epoch 15, Avg Train Loss: 2.5871, Avg Validation Loss: 2.5634
Epoch 16, Avg Train Loss: 2.5653, Avg Validation Loss: 2.5425
Epoch 17, Avg Train Loss: 2.5459, Avg Validation Loss: 2.5247
Epoch 18, Avg Train Loss: 2.5298, Avg Validation Loss: 2.5082
Epoch 19, Avg Train Loss: 2.5131, Avg Validation Loss: 2.4934
Epoch 20, Avg Train Loss: 2.4982, Avg Validation Loss: 2.4811
Epoch 21, Avg Train Loss: 2.4861, Avg Validation Loss: 2.4717
Epoch 22, Avg Train Loss: 2.4756, Avg Validation Loss: 2.4602
Epoch 23, Avg Train Loss: 2.4647, Avg Validation Loss: 2.4503
Epoch 24, Avg Train Loss: 2.4570, Avg Validation Loss: 2.4437
Epoch 25, Avg Train Loss: 2.4492, Avg Validation Loss: 2.4361
Epoch 26, Avg Train Loss: 2.4422, Avg Validation Loss: 2.4306
Epoch 27, Avg Train Loss: 2.4367, Avg Validation Loss: 2.4224
Epoch 28, Avg Train Loss: 2.4287, Avg Validation Loss: 2.4182
Epoch 29, Avg Train Loss: 2.4209, Avg Validation Loss: 2.4115
Epoch 30, Avg Train Loss: 2.4171, Avg Validation Loss: 2.4152
Epoch 31, Avg Train Loss: 2.4151, Avg Validation Loss: 2.4027
Epoch 32, Avg Train Loss: 2.4063, Avg Validation Loss: 2.3969
Epoch 33, Avg Train Loss: 2.4018, Avg Validation Loss: 2.4025
Epoch 34, Avg Train Loss: 2.3963, Avg Validation Loss: 2.3908
