/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_SamsFlow_simpler_234717
Epoch 0, Train Loss: 8.739042282104492, Validation Loss: 8.77725887298584
Epoch 1, Train Loss: 8.715516090393066, Validation Loss: 8.753799438476562
Epoch 2, Train Loss: 8.692008018493652, Validation Loss: 8.730386734008789
Epoch 3, Train Loss: 8.668530464172363, Validation Loss: 8.706965446472168
Epoch 4, Train Loss: 8.64507007598877, Validation Loss: 8.68352222442627
Epoch 5, Train Loss: 8.621623039245605, Validation Loss: 8.660114288330078
Epoch 6, Train Loss: 8.598190307617188, Validation Loss: 8.636746406555176
Epoch 7, Train Loss: 8.574759483337402, Validation Loss: 8.61338996887207
Epoch 8, Train Loss: 8.551356315612793, Validation Loss: 8.590048789978027
Epoch 9, Train Loss: 8.527976989746094, Validation Loss: 8.566707611083984
Epoch 10, Train Loss: 8.50460433959961, Validation Loss: 8.543374061584473
Epoch 11, Train Loss: 8.481273651123047, Validation Loss: 8.52009105682373
Epoch 12, Train Loss: 8.45796012878418, Validation Loss: 8.49681568145752
Epoch 13, Train Loss: 8.434673309326172, Validation Loss: 8.473544120788574
Epoch 14, Train Loss: 8.41139030456543, Validation Loss: 8.450275421142578
Epoch 15, Train Loss: 8.388134002685547, Validation Loss: 8.426981925964355
Epoch 16, Train Loss: 8.364882469177246, Validation Loss: 8.4036865234375
Epoch 17, Train Loss: 8.3416748046875, Validation Loss: 8.38042163848877
Epoch 18, Train Loss: 8.318506240844727, Validation Loss: 8.357197761535645
Epoch 19, Train Loss: 8.295367240905762, Validation Loss: 8.333942413330078
Epoch 20, Train Loss: 8.272229194641113, Validation Loss: 8.310688018798828
Epoch 21, Train Loss: 8.249103546142578, Validation Loss: 8.287515640258789
Epoch 22, Train Loss: 8.226007461547852, Validation Loss: 8.264378547668457
Epoch 23, Train Loss: 8.202914237976074, Validation Loss: 8.241263389587402
Epoch 24, Train Loss: 8.179841041564941, Validation Loss: 8.21815013885498
Epoch 25, Train Loss: 8.156807899475098, Validation Loss: 8.195119857788086
Epoch 26, Train Loss: 8.133795738220215, Validation Loss: 8.172093391418457
Epoch 27, Train Loss: 8.11080265045166, Validation Loss: 8.149078369140625
Epoch 28, Train Loss: 8.087831497192383, Validation Loss: 8.126083374023438
Epoch 29, Train Loss: 8.064939498901367, Validation Loss: 8.10315227508545
Epoch 30, Train Loss: 8.042105674743652, Validation Loss: 8.080297470092773
Epoch 31, Train Loss: 8.019293785095215, Validation Loss: 8.057527542114258
