/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_lower_complexity_256_batch_size_267502
Epoch 0, Avg Train Loss: 2.5941, Avg Validation Loss: 2.4606
Epoch 1, Avg Train Loss: 2.4064, Avg Validation Loss: 2.3875
Epoch 2, Avg Train Loss: 2.3741, Avg Validation Loss: 2.3625
Epoch 3, Avg Train Loss: 2.3549, Avg Validation Loss: 2.3729
Epoch 4, Avg Train Loss: 2.3529, Avg Validation Loss: 2.3629
Epoch 5, Avg Train Loss: 2.3469, Avg Validation Loss: 2.3493
Epoch 6, Avg Train Loss: 2.3421, Avg Validation Loss: 2.3470
Epoch 7, Avg Train Loss: 2.3358, Avg Validation Loss: 2.3455
Epoch 8, Avg Train Loss: 2.3369, Avg Validation Loss: 2.3488
Epoch 9, Avg Train Loss: 2.3398, Avg Validation Loss: 2.3448
Epoch 10, Avg Train Loss: 2.3337, Avg Validation Loss: 2.3520
Epoch 11, Avg Train Loss: 2.3389, Avg Validation Loss: 2.3476
Epoch 12, Avg Train Loss: 2.3297, Avg Validation Loss: 2.3495
Epoch 13, Avg Train Loss: 2.3330, Avg Validation Loss: 2.3522
Epoch 14, Avg Train Loss: 2.3331, Avg Validation Loss: 2.3567
Epoch 15, Avg Train Loss: 2.3263, Avg Validation Loss: 2.3460
Early stopping triggered
