/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_lower_complexity_64_batch_size_267501
Epoch 0, Avg Train Loss: 2.6797, Avg Validation Loss: 2.4111
Epoch 1, Avg Train Loss: 2.3927, Avg Validation Loss: 2.3616
Epoch 2, Avg Train Loss: 2.3685, Avg Validation Loss: 2.3556
Epoch 3, Avg Train Loss: 2.3599, Avg Validation Loss: 2.3374
Epoch 4, Avg Train Loss: 2.3542, Avg Validation Loss: 2.3437
Epoch 5, Avg Train Loss: 2.3499, Avg Validation Loss: 2.3499
Epoch 6, Avg Train Loss: 2.3460, Avg Validation Loss: 2.3404
Epoch 7, Avg Train Loss: 2.3408, Avg Validation Loss: 2.3398
Epoch 8, Avg Train Loss: 2.3407, Avg Validation Loss: 2.3271
Epoch 9, Avg Train Loss: 2.3365, Avg Validation Loss: 2.3267
Epoch 10, Avg Train Loss: 2.3376, Avg Validation Loss: 2.3222
Epoch 11, Avg Train Loss: 2.3327, Avg Validation Loss: 2.3306
Epoch 12, Avg Train Loss: 2.3366, Avg Validation Loss: 2.3342
Epoch 13, Avg Train Loss: 2.3289, Avg Validation Loss: 2.3158
Epoch 14, Avg Train Loss: 2.3281, Avg Validation Loss: 2.3179
Epoch 15, Avg Train Loss: 2.3274, Avg Validation Loss: 2.3209
Epoch 16, Avg Train Loss: 2.3293, Avg Validation Loss: 2.3254
Epoch 17, Avg Train Loss: 2.3292, Avg Validation Loss: 2.3197
Epoch 18, Avg Train Loss: 2.3256, Avg Validation Loss: 2.3132
Epoch 19, Avg Train Loss: 2.3250, Avg Validation Loss: 2.3212
Epoch 20, Avg Train Loss: 2.3278, Avg Validation Loss: 2.3212
Epoch 21, Avg Train Loss: 2.3259, Avg Validation Loss: 2.3263
Epoch 22, Avg Train Loss: 2.3272, Avg Validation Loss: 2.3213
Epoch 23, Avg Train Loss: 2.3242, Avg Validation Loss: 2.3149
Epoch 24, Avg Train Loss: 2.3254, Avg Validation Loss: 2.3248
Epoch 25, Avg Train Loss: 2.3249, Avg Validation Loss: 2.3155
Epoch 26, Avg Train Loss: 2.3248, Avg Validation Loss: 2.3463
Epoch 27, Avg Train Loss: 2.3271, Avg Validation Loss: 2.3159
Epoch 28, Avg Train Loss: 2.3216, Avg Validation Loss: 2.3173
Epoch 29, Avg Train Loss: 2.3245, Avg Validation Loss: 2.3188
Epoch 30, Avg Train Loss: 2.3246, Avg Validation Loss: 2.3157
Epoch 31, Avg Train Loss: 2.3236, Avg Validation Loss: 2.3165
Epoch 32, Avg Train Loss: 2.3228, Avg Validation Loss: 2.3224
Epoch 33, Avg Train Loss: 2.3190, Avg Validation Loss: 2.3197
Epoch 34, Avg Train Loss: 2.3240, Avg Validation Loss: 2.3374
Epoch 35, Avg Train Loss: 2.3262, Avg Validation Loss: 2.3191
Epoch 36, Avg Train Loss: 2.3210, Avg Validation Loss: 2.3113
Epoch 37, Avg Train Loss: 2.3209, Avg Validation Loss: 2.3101
Epoch 38, Avg Train Loss: 2.3197, Avg Validation Loss: 2.3150
Epoch 39, Avg Train Loss: 2.3225, Avg Validation Loss: 2.3179
Epoch 40, Avg Train Loss: 2.3206, Avg Validation Loss: 2.3144
Early stopping triggered
