/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNFtorch_outputs/job_5_layers_8_bins_227711
Epoch 0, Train Loss: 3.7141871452331543, Validation Loss: 3.739576578140259
Epoch 1, Train Loss: 3.703143835067749, Validation Loss: 3.7290945053100586
Epoch 2, Train Loss: 3.691664457321167, Validation Loss: 3.71807861328125
Epoch 3, Train Loss: 3.679746150970459, Validation Loss: 3.706465244293213
Epoch 4, Train Loss: 3.6673405170440674, Validation Loss: 3.6941895484924316
Epoch 5, Train Loss: 3.654482126235962, Validation Loss: 3.6813976764678955
Epoch 6, Train Loss: 3.6412155628204346, Validation Loss: 3.6680612564086914
Epoch 7, Train Loss: 3.6274666786193848, Validation Loss: 3.6541566848754883
Epoch 8, Train Loss: 3.613189935684204, Validation Loss: 3.6396546363830566
Epoch 9, Train Loss: 3.598339080810547, Validation Loss: 3.624629259109497
Epoch 10, Train Loss: 3.5829110145568848, Validation Loss: 3.609105110168457
Epoch 11, Train Loss: 3.566960096359253, Validation Loss: 3.5930023193359375
Epoch 12, Train Loss: 3.5504305362701416, Validation Loss: 3.5761444568634033
Epoch 13, Train Loss: 3.5333375930786133, Validation Loss: 3.5586929321289062
Epoch 14, Train Loss: 3.5157008171081543, Validation Loss: 3.540684700012207
Epoch 15, Train Loss: 3.4974992275238037, Validation Loss: 3.52213716506958
Epoch 16, Train Loss: 3.4787187576293945, Validation Loss: 3.503166437149048
Epoch 17, Train Loss: 3.459435224533081, Validation Loss: 3.4837231636047363
Epoch 18, Train Loss: 3.4396610260009766, Validation Loss: 3.463860511779785
Epoch 19, Train Loss: 3.41943359375, Validation Loss: 3.4435901641845703
Epoch 20, Train Loss: 3.3988304138183594, Validation Loss: 3.422872543334961
Epoch 21, Train Loss: 3.377873420715332, Validation Loss: 3.4016902446746826
Epoch 22, Train Loss: 3.35661244392395, Validation Loss: 3.380225896835327
Epoch 23, Train Loss: 3.335068702697754, Validation Loss: 3.3584377765655518
Epoch 24, Train Loss: 3.3134055137634277, Validation Loss: 3.336451530456543
Epoch 25, Train Loss: 3.291687488555908, Validation Loss: 3.3143351078033447
Epoch 26, Train Loss: 3.2700295448303223, Validation Loss: 3.292201519012451
Epoch 27, Train Loss: 3.2484967708587646, Validation Loss: 3.270169258117676
Epoch 28, Train Loss: 3.227147340774536, Validation Loss: 3.248413562774658
Epoch 29, Train Loss: 3.2060534954071045, Validation Loss: 3.2269411087036133
Epoch 30, Train Loss: 3.1852352619171143, Validation Loss: 3.205768585205078
Epoch 31, Train Loss: 3.1648170948028564, Validation Loss: 3.1850223541259766
Epoch 32, Train Loss: 3.1448652744293213, Validation Loss: 3.1647775173187256
Epoch 33, Train Loss: 3.1253631114959717, Validation Loss: 3.145004987716675
Epoch 34, Train Loss: 3.1063740253448486, Validation Loss: 3.125837802886963
Epoch 35, Train Loss: 3.087941884994507, Validation Loss: 3.107326030731201
Epoch 36, Train Loss: 3.070087194442749, Validation Loss: 3.089421033859253
Epoch 37, Train Loss: 3.0528836250305176, Validation Loss: 3.0721302032470703
Epoch 38, Train Loss: 3.0363426208496094, Validation Loss: 3.0555291175842285
Epoch 39, Train Loss: 3.020484447479248, Validation Loss: 3.0396029949188232
Epoch 40, Train Loss: 3.0053822994232178, Validation Loss: 3.0245182514190674
Epoch 41, Train Loss: 2.9910285472869873, Validation Loss: 3.01023006439209
Epoch 42, Train Loss: 2.9774043560028076, Validation Loss: 2.9966089725494385
Epoch 43, Train Loss: 2.964503526687622, Validation Loss: 2.9836485385894775
Epoch 44, Train Loss: 2.9523212909698486, Validation Loss: 2.971376657485962
Epoch 45, Train Loss: 2.9408557415008545, Validation Loss: 2.9597995281219482
Epoch 46, Train Loss: 2.930091381072998, Validation Loss: 2.9488883018493652
Epoch 47, Train Loss: 2.919952392578125, Validation Loss: 2.9386215209960938
Epoch 48, Train Loss: 2.9103991985321045, Validation Loss: 2.928950309753418
Epoch 49, Train Loss: 2.901432752609253, Validation Loss: 2.9198825359344482
Epoch 50, Train Loss: 2.8930301666259766, Validation Loss: 2.9113664627075195
Epoch 51, Train Loss: 2.885132312774658, Validation Loss: 2.9034125804901123
Epoch 52, Train Loss: 2.8777222633361816, Validation Loss: 2.8959250450134277
Epoch 53, Train Loss: 2.8707590103149414, Validation Loss: 2.8888566493988037
Epoch 54, Train Loss: 2.8642053604125977, Validation Loss: 2.8821842670440674
Epoch 55, Train Loss: 2.8580129146575928, Validation Loss: 2.875868082046509
Epoch 56, Train Loss: 2.852140426635742, Validation Loss: 2.869854688644409
Epoch 57, Train Loss: 2.8465707302093506, Validation Loss: 2.864149332046509
Epoch 58, Train Loss: 2.8412582874298096, Validation Loss: 2.8587076663970947
Epoch 59, Train Loss: 2.836162805557251, Validation Loss: 2.853496551513672
Epoch 60, Train Loss: 2.831265687942505, Validation Loss: 2.848494052886963
Epoch 61, Train Loss: 2.826540470123291, Validation Loss: 2.8436875343322754
Epoch 62, Train Loss: 2.8219528198242188, Validation Loss: 2.839042901992798
Epoch 63, Train Loss: 2.8174946308135986, Validation Loss: 2.8345296382904053
Epoch 64, Train Loss: 2.8131539821624756, Validation Loss: 2.830148458480835
Epoch 65, Train Loss: 2.808912992477417, Validation Loss: 2.8258883953094482
Epoch 66, Train Loss: 2.8047592639923096, Validation Loss: 2.8217382431030273
Epoch 67, Train Loss: 2.800692081451416, Validation Loss: 2.8176822662353516
Epoch 68, Train Loss: 2.7967047691345215, Validation Loss: 2.813711643218994
Epoch 69, Train Loss: 2.792801856994629, Validation Loss: 2.809814929962158
Epoch 70, Train Loss: 2.7889721393585205, Validation Loss: 2.8059873580932617
Epoch 71, Train Loss: 2.785205602645874, Validation Loss: 2.8022289276123047
Epoch 72, Train Loss: 2.7815098762512207, Validation Loss: 2.79853892326355
Epoch 73, Train Loss: 2.777883768081665, Validation Loss: 2.7949378490448
Epoch 74, Train Loss: 2.7743284702301025, Validation Loss: 2.7914154529571533
Epoch 75, Train Loss: 2.770843982696533, Validation Loss: 2.787972927093506
Epoch 76, Train Loss: 2.7674336433410645, Validation Loss: 2.784613609313965
Epoch 77, Train Loss: 2.7641003131866455, Validation Loss: 2.781341314315796
Epoch 78, Train Loss: 2.760838270187378, Validation Loss: 2.778139352798462
Epoch 79, Train Loss: 2.757652521133423, Validation Loss: 2.7750115394592285
Epoch 80, Train Loss: 2.7545430660247803, Validation Loss: 2.771962881088257
Epoch 81, Train Loss: 2.7515203952789307, Validation Loss: 2.768979787826538
Epoch 82, Train Loss: 2.7485761642456055, Validation Loss: 2.766065835952759
Epoch 83, Train Loss: 2.745706558227539, Validation Loss: 2.7632179260253906
