Epoch 0, Train Loss: 9.7774, Val Loss: 4.2956
Epoch 1, Train Loss: 3.8528, Val Loss: 3.6040
Epoch 2, Train Loss: 3.4778, Val Loss: 3.3698
Epoch 3, Train Loss: 3.3125, Val Loss: 3.2540
Epoch 4, Train Loss: 3.2246, Val Loss: 3.1819
Epoch 5, Train Loss: 3.1619, Val Loss: 3.1279
Epoch 6, Train Loss: 3.1132, Val Loss: 3.0847
Epoch 7, Train Loss: 3.0738, Val Loss: 3.0493
Epoch 8, Train Loss: 3.0413, Val Loss: 3.0204
Epoch 9, Train Loss: 3.0133, Val Loss: 2.9984
Epoch 10, Train Loss: 2.9930, Val Loss: 2.9814
Epoch 11, Train Loss: 2.9760, Val Loss: 2.9665
Epoch 12, Train Loss: 2.9624, Val Loss: 2.9556
Epoch 13, Train Loss: 2.9495, Val Loss: 2.9454
Epoch 14, Train Loss: 2.9397, Val Loss: 2.9365
Epoch 15, Train Loss: 2.9308, Val Loss: 2.9294
Epoch 16, Train Loss: 2.9240, Val Loss: 2.9229
Epoch 17, Train Loss: 2.9169, Val Loss: 2.9181
Epoch 18, Train Loss: 2.9112, Val Loss: 2.9127
Epoch 19, Train Loss: 2.9066, Val Loss: 2.9090
Epoch 20, Train Loss: 2.9023, Val Loss: 2.9044
Epoch 21, Train Loss: 2.8980, Val Loss: 2.9025
Epoch 22, Train Loss: 2.8956, Val Loss: 2.8982
Epoch 23, Train Loss: 2.8926, Val Loss: 2.8952
Epoch 24, Train Loss: 2.8893, Val Loss: 2.8932
Epoch 25, Train Loss: 2.8873, Val Loss: 2.8912
Epoch 26, Train Loss: 2.8843, Val Loss: 2.8886
Epoch 27, Train Loss: 2.8831, Val Loss: 2.8874
Epoch 28, Train Loss: 2.8814, Val Loss: 2.8861
Epoch 29, Train Loss: 2.8786, Val Loss: 2.8843
Epoch 30, Train Loss: 2.8777, Val Loss: 2.8829
Epoch 31, Train Loss: 2.8761, Val Loss: 2.8816
Epoch 32, Train Loss: 2.8744, Val Loss: 2.8803
Epoch 33, Train Loss: 2.8731, Val Loss: 2.8785
Epoch 34, Train Loss: 2.8717, Val Loss: 2.8791
Epoch 35, Train Loss: 2.8715, Val Loss: 2.8768
Epoch 36, Train Loss: 2.8698, Val Loss: 2.8750
Epoch 37, Train Loss: 2.8684, Val Loss: 2.8744
Epoch 38, Train Loss: 2.8670, Val Loss: 2.8738
Epoch 39, Train Loss: 2.8666, Val Loss: 2.8733
Epoch 40, Train Loss: 2.8656, Val Loss: 2.8719
Epoch 41, Train Loss: 2.8653, Val Loss: 2.8714
Epoch 42, Train Loss: 2.8644, Val Loss: 2.8704
Epoch 43, Train Loss: 2.8629, Val Loss: 2.8700
Epoch 44, Train Loss: 2.8630, Val Loss: 2.8693
Epoch 45, Train Loss: 2.8618, Val Loss: 2.8684
Epoch 46, Train Loss: 2.8606, Val Loss: 2.8674
Epoch 47, Train Loss: 2.8598, Val Loss: 2.8662
Epoch 48, Train Loss: 2.8599, Val Loss: 2.8667
Epoch 49, Train Loss: 2.8588, Val Loss: 2.8674
Epoch 50, Train Loss: 2.8578, Val Loss: 2.8670
Epoch 51, Train Loss: 2.8576, Val Loss: 2.8649
Epoch 52, Train Loss: 2.8569, Val Loss: 2.8660
Epoch 53, Train Loss: 2.8559, Val Loss: 2.8662
Epoch 54, Train Loss: 2.8558, Val Loss: 2.8630
Epoch 55, Train Loss: 2.8549, Val Loss: 2.8629
Epoch 56, Train Loss: 2.8547, Val Loss: 2.8639
Epoch 57, Train Loss: 2.8547, Val Loss: 2.8623
Epoch 58, Train Loss: 2.8535, Val Loss: 2.8608
Epoch 59, Train Loss: 2.8538, Val Loss: 2.8609
Epoch 60, Train Loss: 2.8529, Val Loss: 2.8607
Epoch 61, Train Loss: 2.8526, Val Loss: 2.8593
Epoch 62, Train Loss: 2.8529, Val Loss: 2.8606
Epoch 63, Train Loss: 2.8518, Val Loss: 2.8620
Epoch 64, Train Loss: 2.8515, Val Loss: 2.8598
Epoch 65, Train Loss: 2.8516, Val Loss: 2.8579
Epoch 66, Train Loss: 2.8511, Val Loss: 2.8603
Epoch 67, Train Loss: 2.8510, Val Loss: 2.8576
Epoch 68, Train Loss: 2.8500, Val Loss: 2.8596
Epoch 69, Train Loss: 2.8500, Val Loss: 2.8573
Epoch 70, Train Loss: 2.8499, Val Loss: 2.8567
Epoch 71, Train Loss: 2.8495, Val Loss: 2.8573
Epoch 72, Train Loss: 2.8491, Val Loss: 2.8566
Epoch 73, Train Loss: 2.8487, Val Loss: 2.8574
Epoch 74, Train Loss: 2.8490, Val Loss: 2.8563
Epoch 75, Train Loss: 2.8485, Val Loss: 2.8560
Epoch 76, Train Loss: 2.8490, Val Loss: 2.8554
Epoch 77, Train Loss: 2.8481, Val Loss: 2.8552
Epoch 78, Train Loss: 2.8483, Val Loss: 2.8560
Epoch 79, Train Loss: 2.8479, Val Loss: 2.8554
Epoch 80, Train Loss: 2.8470, Val Loss: 2.8565
Epoch 81, Train Loss: 2.8477, Val Loss: 2.8557
Epoch 82, Train Loss: 2.8471, Val Loss: 2.8536
Epoch 83, Train Loss: 2.8474, Val Loss: 2.8545
Epoch 84, Train Loss: 2.8473, Val Loss: 2.8547
Epoch 85, Train Loss: 2.8465, Val Loss: 2.8541
Epoch 86, Train Loss: 2.8463, Val Loss: 2.8543
Epoch 87, Train Loss: 2.8473, Val Loss: 2.8532
Epoch 88, Train Loss: 2.8461, Val Loss: 2.8534
Epoch 89, Train Loss: 2.8458, Val Loss: 2.8550
Epoch 90, Train Loss: 2.8464, Val Loss: 2.8531
Epoch 91, Train Loss: 2.8459, Val Loss: 2.8528
Epoch 92, Train Loss: 2.8457, Val Loss: 2.8545
Epoch 93, Train Loss: 2.8459, Val Loss: 2.8541
Epoch 94, Train Loss: 2.8465, Val Loss: 2.8534
Epoch 95, Train Loss: 2.8453, Val Loss: 2.8517
Epoch 96, Train Loss: 2.8451, Val Loss: 2.8524
Epoch 97, Train Loss: 2.8453, Val Loss: 2.8522
Epoch 98, Train Loss: 2.8450, Val Loss: 2.8522
Epoch 99, Train Loss: 2.8453, Val Loss: 2.8520
Epoch 100, Train Loss: 2.8452, Val Loss: 2.8524
Epoch 101, Train Loss: 2.8448, Val Loss: 2.8519
Epoch 102, Train Loss: 2.8444, Val Loss: 2.8556
Epoch 103, Train Loss: 2.8460, Val Loss: 2.8513
Epoch 104, Train Loss: 2.8446, Val Loss: 2.8515
