/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_gaussians_outputs/job_6_6_64_10_719661
Epoch 0, Avg Train Loss: 20.5546, Avg Validation Loss: 12.2124
Epoch 1, Avg Train Loss: 9.4509, Avg Validation Loss: 7.4808
Epoch 2, Avg Train Loss: 6.4344, Avg Validation Loss: 5.5868
Epoch 3, Avg Train Loss: 5.1600, Avg Validation Loss: 4.7921
Epoch 4, Avg Train Loss: 4.6070, Avg Validation Loss: 4.4215
Epoch 5, Avg Train Loss: 4.3269, Avg Validation Loss: 4.1988
Epoch 6, Avg Train Loss: 4.1331, Avg Validation Loss: 4.0338
Epoch 7, Avg Train Loss: 3.9768, Avg Validation Loss: 3.8943
Epoch 8, Avg Train Loss: 3.8386, Avg Validation Loss: 3.7619
Epoch 9, Avg Train Loss: 3.7037, Avg Validation Loss: 3.6244
Epoch 10, Avg Train Loss: 3.5691, Avg Validation Loss: 3.4904
Epoch 11, Avg Train Loss: 3.4451, Avg Validation Loss: 3.3803
Epoch 12, Avg Train Loss: 3.3486, Avg Validation Loss: 3.2924
Epoch 13, Avg Train Loss: 3.2754, Avg Validation Loss: 3.2266
Epoch 14, Avg Train Loss: 3.2189, Avg Validation Loss: 3.1750
Epoch 15, Avg Train Loss: 3.1745, Avg Validation Loss: 3.1355
Epoch 16, Avg Train Loss: 3.1386, Avg Validation Loss: 3.1030
Epoch 17, Avg Train Loss: 3.1080, Avg Validation Loss: 3.0744
Epoch 18, Avg Train Loss: 3.0827, Avg Validation Loss: 3.0501
Epoch 19, Avg Train Loss: 3.0593, Avg Validation Loss: 3.0289
Epoch 20, Avg Train Loss: 3.0398, Avg Validation Loss: 3.0125
Epoch 21, Avg Train Loss: 3.0253, Avg Validation Loss: 2.9979
Epoch 22, Avg Train Loss: 3.0116, Avg Validation Loss: 2.9852
Epoch 23, Avg Train Loss: 2.9970, Avg Validation Loss: 2.9721
Epoch 24, Avg Train Loss: 2.9866, Avg Validation Loss: 2.9617
Epoch 25, Avg Train Loss: 2.9771, Avg Validation Loss: 2.9522
Epoch 26, Avg Train Loss: 2.9671, Avg Validation Loss: 2.9434
Epoch 27, Avg Train Loss: 2.9580, Avg Validation Loss: 2.9360
Epoch 28, Avg Train Loss: 2.9527, Avg Validation Loss: 2.9306
Epoch 29, Avg Train Loss: 2.9465, Avg Validation Loss: 2.9243
Epoch 30, Avg Train Loss: 2.9400, Avg Validation Loss: 2.9196
Epoch 31, Avg Train Loss: 2.9363, Avg Validation Loss: 2.9154
Epoch 32, Avg Train Loss: 2.9306, Avg Validation Loss: 2.9113
Epoch 33, Avg Train Loss: 2.9261, Avg Validation Loss: 2.9076
Epoch 34, Avg Train Loss: 2.9239, Avg Validation Loss: 2.9051
Epoch 35, Avg Train Loss: 2.9203, Avg Validation Loss: 2.9012
Epoch 36, Avg Train Loss: 2.9169, Avg Validation Loss: 2.8979
Epoch 37, Avg Train Loss: 2.9150, Avg Validation Loss: 2.8956
Epoch 38, Avg Train Loss: 2.9111, Avg Validation Loss: 2.8942
Epoch 39, Avg Train Loss: 2.9094, Avg Validation Loss: 2.8921
Epoch 40, Avg Train Loss: 2.9059, Avg Validation Loss: 2.8899
Epoch 41, Avg Train Loss: 2.9034, Avg Validation Loss: 2.8869
Epoch 42, Avg Train Loss: 2.9019, Avg Validation Loss: 2.8867
Epoch 43, Avg Train Loss: 2.8986, Avg Validation Loss: 2.8843
Epoch 44, Avg Train Loss: 2.8968, Avg Validation Loss: 2.8822
Epoch 45, Avg Train Loss: 2.8965, Avg Validation Loss: 2.8800
Epoch 46, Avg Train Loss: 2.8945, Avg Validation Loss: 2.8800
Epoch 47, Avg Train Loss: 2.8927, Avg Validation Loss: 2.8785
Epoch 48, Avg Train Loss: 2.8916, Avg Validation Loss: 2.8755
Epoch 49, Avg Train Loss: 2.8888, Avg Validation Loss: 2.8751
Epoch 50, Avg Train Loss: 2.8885, Avg Validation Loss: 2.8733
Epoch 51, Avg Train Loss: 2.8857, Avg Validation Loss: 2.8721
Epoch 52, Avg Train Loss: 2.8845, Avg Validation Loss: 2.8706
Epoch 53, Avg Train Loss: 2.8828, Avg Validation Loss: 2.8704
Epoch 54, Avg Train Loss: 2.8824, Avg Validation Loss: 2.8701
Epoch 55, Avg Train Loss: 2.8813, Avg Validation Loss: 2.8676
Epoch 56, Avg Train Loss: 2.8789, Avg Validation Loss: 2.8683
Epoch 57, Avg Train Loss: 2.8788, Avg Validation Loss: 2.8690
Epoch 58, Avg Train Loss: 2.8778, Avg Validation Loss: 2.8652
Epoch 59, Avg Train Loss: 2.8757, Avg Validation Loss: 2.8638
Epoch 60, Avg Train Loss: 2.8754, Avg Validation Loss: 2.8652
Epoch 61, Avg Train Loss: 2.8743, Avg Validation Loss: 2.8626
Epoch 62, Avg Train Loss: 2.8734, Avg Validation Loss: 2.8618
Epoch 63, Avg Train Loss: 2.8725, Avg Validation Loss: 2.8618
Epoch 64, Avg Train Loss: 2.8716, Avg Validation Loss: 2.8598
Epoch 65, Avg Train Loss: 2.8706, Avg Validation Loss: 2.8585
Epoch 66, Avg Train Loss: 2.8701, Avg Validation Loss: 2.8583
Epoch 67, Avg Train Loss: 2.8698, Avg Validation Loss: 2.8579
Epoch 68, Avg Train Loss: 2.8693, Avg Validation Loss: 2.8582
Epoch 69, Avg Train Loss: 2.8686, Avg Validation Loss: 2.8569
Epoch 70, Avg Train Loss: 2.8677, Avg Validation Loss: 2.8574
Epoch 71, Avg Train Loss: 2.8679, Avg Validation Loss: 2.8562
Epoch 72, Avg Train Loss: 2.8658, Avg Validation Loss: 2.8544
Epoch 73, Avg Train Loss: 2.8651, Avg Validation Loss: 2.8554
Epoch 74, Avg Train Loss: 2.8654, Avg Validation Loss: 2.8542
Epoch 75, Avg Train Loss: 2.8646, Avg Validation Loss: 2.8526
Epoch 76, Avg Train Loss: 2.8632, Avg Validation Loss: 2.8546
Epoch 77, Avg Train Loss: 2.8630, Avg Validation Loss: 2.8522
Epoch 78, Avg Train Loss: 2.8635, Avg Validation Loss: 2.8552
Epoch 79, Avg Train Loss: 2.8621, Avg Validation Loss: 2.8509
Epoch 80, Avg Train Loss: 2.8618, Avg Validation Loss: 2.8507
Epoch 81, Avg Train Loss: 2.8622, Avg Validation Loss: 2.8529
Epoch 82, Avg Train Loss: 2.8618, Avg Validation Loss: 2.8536
Epoch 83, Avg Train Loss: 2.8630, Avg Validation Loss: 2.8517
Epoch 84, Avg Train Loss: 2.8612, Avg Validation Loss: 2.8525
Epoch 85, Avg Train Loss: 2.8610, Avg Validation Loss: 2.8539
Epoch 86, Avg Train Loss: 2.8611, Avg Validation Loss: 2.8488
