[1/100] mean: [-0.5116802   0.59598076]
[2/100] mean: [-0.5077881  0.5995343]
[3/100] mean: [-0.5043972  0.597831 ]
[4/100] mean: [-0.50925434  0.60289735]
[5/100] mean: [-0.4900759   0.60930496]
[6/100] mean: [-0.49434838  0.60985476]
[7/100] mean: [-0.491809    0.60266644]
[8/100] mean: [-0.5035167  0.5941009]
[9/100] mean: [-0.49287117  0.60971504]
[10/100] mean: [-0.49563986  0.5890136 ]
[11/100] mean: [-0.50703055  0.59769666]
[12/100] mean: [-0.49743503  0.60221136]
[13/100] mean: [-0.50590575  0.5991525 ]
[14/100] mean: [-0.4989954   0.60356444]
[15/100] mean: [-0.5047828  0.5834332]
[16/100] mean: [-0.49424    0.6002658]
[17/100] mean: [-0.49067613  0.6072343 ]
[18/100] mean: [-0.5118038   0.59752244]
[19/100] mean: [-0.48964036  0.615035  ]
[20/100] mean: [-0.49778748  0.5999709 ]
[21/100] mean: [-0.49973318  0.6039038 ]
[22/100] mean: [-0.4957472  0.5965538]
[23/100] mean: [-0.49302405  0.59606326]
[24/100] mean: [-0.49465564  0.60098207]
[25/100] mean: [-0.50238943  0.614248  ]
[26/100] mean: [-0.49225116  0.59628433]
[27/100] mean: [-0.49918664  0.6108083 ]
[28/100] mean: [-0.5046878  0.5939376]
[29/100] mean: [-0.5016924  0.5969815]
[30/100] mean: [-0.5043285  0.5990004]
[31/100] mean: [-0.49844652  0.60394794]
[32/100] mean: [-0.50250506  0.60090333]
[33/100] mean: [-0.50639445  0.6021181 ]
[34/100] mean: [-0.49080136  0.5925033 ]
[35/100] mean: [-0.49736524  0.62809926]
[36/100] mean: [-0.48753506  0.5895798 ]
[37/100] mean: [-0.490107   0.6054758]
[38/100] mean: [-0.49404132  0.58656853]
[39/100] mean: [-0.49912235  0.5938981 ]
[40/100] mean: [-0.5047128   0.58817315]
[41/100] mean: [-0.4952069   0.58947295]
[42/100] mean: [-0.50032824  0.5922968 ]
[43/100] mean: [-0.50829244  0.60141695]
[44/100] mean: [-0.49490774  0.58933836]
[45/100] mean: [-0.50484115  0.59554803]
[46/100] mean: [-0.49881092  0.59323764]
[47/100] mean: [-0.49800652  0.608926  ]
[48/100] mean: [-0.488947    0.58765054]
[49/100] mean: [-0.49674588  0.58281964]
[50/100] mean: [-0.5022219   0.59816563]
[51/100] mean: [-0.504151   0.5956758]
[52/100] mean: [-0.49147925  0.6010454 ]
[53/100] mean: [-0.5028304  0.6032633]
[54/100] mean: [-0.50208163  0.59732294]
[55/100] mean: [-0.4963372  0.6041255]
[56/100] mean: [-0.49443898  0.59607637]
[57/100] mean: [-0.50236285  0.60466474]
[58/100] mean: [-0.49465555  0.5951193 ]
[59/100] mean: [-0.49706414  0.586516  ]
[60/100] mean: [-0.50294703  0.5993523 ]
[61/100] mean: [-0.50257367  0.6186214 ]
[62/100] mean: [-0.5034691  0.598733 ]
[63/100] mean: [-0.5057746  0.6092799]
[64/100] mean: [-0.49933538  0.5966728 ]
[65/100] mean: [-0.49946246  0.603321  ]
[66/100] mean: [-0.50069857  0.5935104 ]
[67/100] mean: [-0.50143445  0.61758345]
[68/100] mean: [-0.4975723  0.5878385]
[69/100] mean: [-0.4959195  0.6096209]
[70/100] mean: [-0.49780816  0.58422506]
[71/100] mean: [-0.49232987  0.6134862 ]
[72/100] mean: [-0.50210035  0.5957344 ]
[73/100] mean: [-0.5044919  0.5921406]
[74/100] mean: [-0.50073355  0.5890305 ]
[75/100] mean: [-0.49345738  0.5878474 ]
[76/100] mean: [-0.4978715   0.59510946]
[77/100] mean: [-0.5034356  0.6198221]
[78/100] mean: [-0.49596524  0.6007343 ]
[79/100] mean: [-0.5014438   0.59125423]
[80/100] mean: [-0.497098   0.5964174]
[81/100] mean: [-0.50215685  0.5937109 ]
[82/100] mean: [-0.5015044   0.58937454]
[83/100] mean: [-0.5063922   0.60296094]
[84/100] mean: [-0.50395733  0.594204  ]
[85/100] mean: [-0.49588147  0.5916902 ]
[86/100] mean: [-0.49562886  0.60268927]
[87/100] mean: [-0.5001712  0.5974966]
[88/100] mean: [-0.49794212  0.61328286]
[89/100] mean: [-0.49900216  0.58650243]
[90/100] mean: [-0.50817287  0.60326594]
[91/100] mean: [-0.5026461  0.6138736]
[92/100] mean: [-0.50196934  0.60490644]
[93/100] mean: [-0.49834517  0.6027004 ]
[94/100] mean: [-0.49063697  0.60300505]
[95/100] mean: [-0.4950898  0.6010166]
[96/100] mean: [-0.507504   0.5973036]
[97/100] mean: [-0.50099003  0.6096047 ]
[98/100] mean: [-0.49857476  0.5977269 ]
[99/100] mean: [-0.50451344  0.59673077]
[100/100] mean: [-0.49210423  0.6014691 ]
Final shape of sampled_mean: (100, 2)
Saved to /work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Uncertainty_Modeling/Coverage_Check/generate_sampled_means/results_generated_sampled_means/generated_sampled_means_N_100000_seeds_100_4_16_128_15.npy
