/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_4_6_50_10_best_model_419803
Epoch 0, Avg Train Loss: 10.4965, Avg Validation Loss: 7.4313
Epoch 1, Avg Train Loss: 6.2039, Avg Validation Loss: 5.3981
Epoch 2, Avg Train Loss: 5.0043, Avg Validation Loss: 4.6501
Epoch 3, Avg Train Loss: 4.3518, Avg Validation Loss: 4.0867
Epoch 4, Avg Train Loss: 3.8656, Avg Validation Loss: 3.6565
Epoch 5, Avg Train Loss: 3.4379, Avg Validation Loss: 3.2513
Epoch 6, Avg Train Loss: 3.1885, Avg Validation Loss: 3.1224
Epoch 7, Avg Train Loss: 3.0908, Avg Validation Loss: 3.0432
Epoch 8, Avg Train Loss: 3.0227, Avg Validation Loss: 2.9818
Epoch 9, Avg Train Loss: 2.9661, Avg Validation Loss: 2.9275
Epoch 10, Avg Train Loss: 2.9135, Avg Validation Loss: 2.8767
Epoch 11, Avg Train Loss: 2.8664, Avg Validation Loss: 2.8281
Epoch 12, Avg Train Loss: 2.8208, Avg Validation Loss: 2.7838
Epoch 13, Avg Train Loss: 2.7815, Avg Validation Loss: 2.7465
Epoch 14, Avg Train Loss: 2.7488, Avg Validation Loss: 2.7153
Epoch 15, Avg Train Loss: 2.7224, Avg Validation Loss: 2.6905
Epoch 16, Avg Train Loss: 2.6985, Avg Validation Loss: 2.6682
Epoch 17, Avg Train Loss: 2.6800, Avg Validation Loss: 2.6497
Epoch 18, Avg Train Loss: 2.6632, Avg Validation Loss: 2.6319
Epoch 19, Avg Train Loss: 2.6460, Avg Validation Loss: 2.6150
Epoch 20, Avg Train Loss: 2.6314, Avg Validation Loss: 2.6000
Epoch 21, Avg Train Loss: 2.6182, Avg Validation Loss: 2.5853
Epoch 22, Avg Train Loss: 2.6009, Avg Validation Loss: 2.5712
Epoch 23, Avg Train Loss: 2.5907, Avg Validation Loss: 2.5580
Epoch 24, Avg Train Loss: 2.5777, Avg Validation Loss: 2.5457
Epoch 25, Avg Train Loss: 2.5642, Avg Validation Loss: 2.5324
Epoch 26, Avg Train Loss: 2.5542, Avg Validation Loss: 2.5201
Epoch 27, Avg Train Loss: 2.5447, Avg Validation Loss: 2.5095
Epoch 28, Avg Train Loss: 2.5329, Avg Validation Loss: 2.4991
Epoch 29, Avg Train Loss: 2.5221, Avg Validation Loss: 2.4882
Epoch 30, Avg Train Loss: 2.5113, Avg Validation Loss: 2.4783
Epoch 31, Avg Train Loss: 2.5028, Avg Validation Loss: 2.4683
Epoch 32, Avg Train Loss: 2.4942, Avg Validation Loss: 2.4585
Epoch 33, Avg Train Loss: 2.4857, Avg Validation Loss: 2.4511
Epoch 34, Avg Train Loss: 2.4778, Avg Validation Loss: 2.4414
Epoch 35, Avg Train Loss: 2.4688, Avg Validation Loss: 2.4341
