/work/gbadarac/MonoJet_NPLM/MonoJet_NPLM_analysis/Normalizing_Flows/EstimationNF_outputs/job_5e-6_lr_3_layers_4_transformations_60_neurons_15_bins_512_batch_size_923107
Epoch 0, Avg Train Loss: 9.1829, Avg Validation Loss: 7.7628
Epoch 1, Avg Train Loss: 6.6182, Avg Validation Loss: 5.7198
Epoch 2, Avg Train Loss: 4.9343, Avg Validation Loss: 4.3490
Epoch 3, Avg Train Loss: 4.0004, Avg Validation Loss: 3.7624
Epoch 4, Avg Train Loss: 3.5297, Avg Validation Loss: 3.3788
Epoch 5, Avg Train Loss: 3.2218, Avg Validation Loss: 3.1276
Epoch 6, Avg Train Loss: 3.0309, Avg Validation Loss: 2.9746
Epoch 7, Avg Train Loss: 2.9137, Avg Validation Loss: 2.8801
Epoch 8, Avg Train Loss: 2.8336, Avg Validation Loss: 2.8089
Epoch 9, Avg Train Loss: 2.7716, Avg Validation Loss: 2.7549
Epoch 10, Avg Train Loss: 2.7205, Avg Validation Loss: 2.7115
Epoch 11, Avg Train Loss: 2.6800, Avg Validation Loss: 2.6745
Epoch 12, Avg Train Loss: 2.6468, Avg Validation Loss: 2.6441
Epoch 13, Avg Train Loss: 2.6201, Avg Validation Loss: 2.6190
Epoch 14, Avg Train Loss: 2.5985, Avg Validation Loss: 2.5970
Epoch 15, Avg Train Loss: 2.5790, Avg Validation Loss: 2.5801
Epoch 16, Avg Train Loss: 2.5645, Avg Validation Loss: 2.5641
Epoch 17, Avg Train Loss: 2.5500, Avg Validation Loss: 2.5507
Epoch 18, Avg Train Loss: 2.5373, Avg Validation Loss: 2.5365
Epoch 19, Avg Train Loss: 2.5259, Avg Validation Loss: 2.5239
Epoch 20, Avg Train Loss: 2.5155, Avg Validation Loss: 2.5133
Epoch 21, Avg Train Loss: 2.5063, Avg Validation Loss: 2.5031
Epoch 22, Avg Train Loss: 2.4982, Avg Validation Loss: 2.4937
Epoch 23, Avg Train Loss: 2.4900, Avg Validation Loss: 2.4847
Epoch 24, Avg Train Loss: 2.4810, Avg Validation Loss: 2.4774
Epoch 25, Avg Train Loss: 2.4744, Avg Validation Loss: 2.4696
Epoch 26, Avg Train Loss: 2.4668, Avg Validation Loss: 2.4618
Epoch 27, Avg Train Loss: 2.4602, Avg Validation Loss: 2.4550
Epoch 28, Avg Train Loss: 2.4552, Avg Validation Loss: 2.4481
Epoch 29, Avg Train Loss: 2.4488, Avg Validation Loss: 2.4414
Epoch 30, Avg Train Loss: 2.4419, Avg Validation Loss: 2.4361
Epoch 31, Avg Train Loss: 2.4374, Avg Validation Loss: 2.4300
Epoch 32, Avg Train Loss: 2.4311, Avg Validation Loss: 2.4239
Epoch 33, Avg Train Loss: 2.4259, Avg Validation Loss: 2.4192
Epoch 34, Avg Train Loss: 2.4199, Avg Validation Loss: 2.4131
Epoch 35, Avg Train Loss: 2.4164, Avg Validation Loss: 2.4083
Epoch 36, Avg Train Loss: 2.4107, Avg Validation Loss: 2.4024
Epoch 37, Avg Train Loss: 2.4064, Avg Validation Loss: 2.3975
Epoch 38, Avg Train Loss: 2.4034, Avg Validation Loss: 2.3930
Epoch 39, Avg Train Loss: 2.3975, Avg Validation Loss: 2.3896
Epoch 40, Avg Train Loss: 2.3927, Avg Validation Loss: 2.3865
Epoch 41, Avg Train Loss: 2.3893, Avg Validation Loss: 2.3820
Epoch 42, Avg Train Loss: 2.3850, Avg Validation Loss: 2.3761
Epoch 43, Avg Train Loss: 2.3810, Avg Validation Loss: 2.3731
Epoch 44, Avg Train Loss: 2.3769, Avg Validation Loss: 2.3686
Epoch 45, Avg Train Loss: 2.3743, Avg Validation Loss: 2.3651
Epoch 46, Avg Train Loss: 2.3700, Avg Validation Loss: 2.3606
Epoch 47, Avg Train Loss: 2.3663, Avg Validation Loss: 2.3585
Epoch 48, Avg Train Loss: 2.3640, Avg Validation Loss: 2.3533
Epoch 49, Avg Train Loss: 2.3602, Avg Validation Loss: 2.3516
Epoch 50, Avg Train Loss: 2.3558, Avg Validation Loss: 2.3473
Epoch 51, Avg Train Loss: 2.3524, Avg Validation Loss: 2.3429
Epoch 52, Avg Train Loss: 2.3496, Avg Validation Loss: 2.3417
Epoch 53, Avg Train Loss: 2.3472, Avg Validation Loss: 2.3379
Epoch 54, Avg Train Loss: 2.3446, Avg Validation Loss: 2.3356
Epoch 55, Avg Train Loss: 2.3411, Avg Validation Loss: 2.3326
Epoch 56, Avg Train Loss: 2.3384, Avg Validation Loss: 2.3305
Epoch 57, Avg Train Loss: 2.3364, Avg Validation Loss: 2.3281
Epoch 58, Avg Train Loss: 2.3352, Avg Validation Loss: 2.3279
Epoch 59, Avg Train Loss: 2.3332, Avg Validation Loss: 2.3256
Epoch 60, Avg Train Loss: 2.3313, Avg Validation Loss: 2.3255
Epoch 61, Avg Train Loss: 2.3296, Avg Validation Loss: 2.3232
Epoch 62, Avg Train Loss: 2.3275, Avg Validation Loss: 2.3229
Epoch 63, Avg Train Loss: 2.3264, Avg Validation Loss: 2.3201
Epoch 64, Avg Train Loss: 2.3232, Avg Validation Loss: 2.3188
Epoch 65, Avg Train Loss: 2.3242, Avg Validation Loss: 2.3175
Epoch 66, Avg Train Loss: 2.3214, Avg Validation Loss: 2.3157
Epoch 67, Avg Train Loss: 2.3190, Avg Validation Loss: 2.3145
Epoch 68, Avg Train Loss: 2.3184, Avg Validation Loss: 2.3130
Epoch 69, Avg Train Loss: 2.3173, Avg Validation Loss: 2.3151
Epoch 70, Avg Train Loss: 2.3162, Avg Validation Loss: 2.3136
Epoch 71, Avg Train Loss: 2.3160, Avg Validation Loss: 2.3122
Epoch 72, Avg Train Loss: 2.3140, Avg Validation Loss: 2.3102
Epoch 73, Avg Train Loss: 2.3123, Avg Validation Loss: 2.3089
Epoch 74, Avg Train Loss: 2.3124, Avg Validation Loss: 2.3090
Epoch 75, Avg Train Loss: 2.3114, Avg Validation Loss: 2.3085
Epoch 76, Avg Train Loss: 2.3090, Avg Validation Loss: 2.3104
Epoch 77, Avg Train Loss: 2.3122, Avg Validation Loss: 2.3060
Epoch 78, Avg Train Loss: 2.3087, Avg Validation Loss: 2.3079
Epoch 79, Avg Train Loss: 2.3069, Avg Validation Loss: 2.3078
Epoch 80, Avg Train Loss: 2.3069, Avg Validation Loss: 2.3058
Epoch 81, Avg Train Loss: 2.3056, Avg Validation Loss: 2.3024
Epoch 82, Avg Train Loss: 2.3038, Avg Validation Loss: 2.3026
Epoch 83, Avg Train Loss: 2.3046, Avg Validation Loss: 2.3019
